"match_id","ldir_idx","raman_idx","match_distance","match_score","ldir_particle_id","ldir_x_um","ldir_y_um","ldir_area_um2","ldir_major_um","ldir_minor_um","ldir_feret_min_um","ldir_feret_max_um","ldir_material","ldir_quality","ldir_source_file","ldir_diameter_um","ldir_aspect_ratio","ldir_coord_match_cost","ldir_coord_source","ldir_x_norm","ldir_y_norm","ldir_x_aligned","ldir_y_aligned","raman_particle_id","raman_x_um","raman_y_um","raman_area_um2","raman_major_um","raman_minor_um","raman_feret_min_um","raman_feret_max_um","raman_material","raman_quality","raman_source_file","raman_x_norm","raman_y_norm","n_ref_candidates","next_best_distance","ambiguity_score","ambiguity_flag"
1,2,732,37.2999635380352,39.810323498268,"A2",6745.19602382131,3451.27534109039,127225,648,282,282,648,"Polyethylene terephthalate",0.844333495567771,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",402.477205663788,2.29917670131412,0.383744760874096,"image",-278.182414649063,-3397.17701032207,382.130663217471,2348.31074308669,"521",5731.69919224568,4711.05071436216,497.296,39.648,19.159,19.159,39.793,"Polytetrafluoroethylene (PTFE)",4.21,"Comparstic Raman F2Ba Au IAEA 240930.csv",374.618239189707,2384.84635263636,1,131.584536757776,0.283467681363638,FALSE
2,3,196,35.1912002059492,37.5184250064418,"A3",2056.40890668248,7141.73149795703,122862.5,427,367,367,427,"Polyethylene terephthalate",0.812781291857113,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",395.516616041632,0.859259087827103,0.581523227953672,"image",-4966.96953178789,293.279146544573,-3886.70829763767,-2132.11375676668,"656",1505.41364269518,190.842562071918,641.97,36.514,22.086,22.086,38.567,"Cellulose Acetate Butyrate (CAB)",86.94,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3851.66731036079,-2135.36179965389,1,163.363837038925,0.215416097245341,FALSE
3,6,191,68.9532805146305,70.8137375224492,"A6",11605.0749022483,9073.49645650049,46587.5,308,219,219,308,"Polyethylene terephthalate",0.855330065989846,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",243.550913137991,1.40574005859434,0.189217564220436,"image",4581.69646377792,2225.04410508803,6200.79760711053,-2706.20992644828,"398",11506.245014431,-425.706022581336,727.654,37.693,28.131,28.129,40.593,"Cellulose Acetate Butyrate (CAB)",87.18,"Comparstic Raman F2Ba Au IAEA 240930.csv",6149.16406137503,-2751.91038430714,0,153.246288765695,0.449950736621466,FALSE
4,7,680,63.8081576448313,66.0583917686115,"A7",9750.58788672655,6113.26378493014,43325,362,175,175,362,"Polyethylene terephthalate",0.784742605201264,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",234.868267919808,2.06825403298173,0.16437339455604,"image",2727.20944825617,-735.18856648232,3860.20643675814,59.0503154879698,"140",9153.71605734628,2379.76225786601,405.021,23.363,22.336,22.022,25.234,"Polycarbonate (PC)",7.8,"Comparstic Raman F2Ba Au IAEA 240930.csv",3796.63510429031,53.5578961402061,0,245.161942920301,0.260269423894941,FALSE
5,17,248,44.6217145427548,45.308428372962,"A17",9774.81600294985,5362.2651179941,16550,447,135,135,447,"Polyethylene terephthalate",0.884980070766979,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",145.162372760185,0.302042575961249,0.195508732441897,"image",2751.43756447948,-1486.18723341836,3774.2603033884,833.584317737224,"185",9089.99455558044,3176.56806373074,5918.782,138.258,56.566,56.566,138.247,"Polyamide (PA)",81.69,"Comparstic Raman F2Ba Au IAEA 240930.csv",3732.91360252447,850.363702004936,1,111.682061886475,0.399542359704219,FALSE
6,22,462,77.3523680975869,78.4505793974698,"A22",4248.62958715596,5518.82963812436,9250,143,106,106,143,"Polyethylene terephthalate",0.855234937742436,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",108.524033231355,1.35475579425798,0.0441763166714503,"image",-2774.74885131441,-1329.6227132881,-1875.69947804851,-142.591557963374,"215",3479.05799468576,2260.93026808647,862.442,38.014,29.857,29.857,40.185,"Polyacrylamide/acrylate",28.84,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1878.02295837021,-65.2740936393338,0,355.646190034994,0.217498092950119,FALSE
7,24,644,83.0902982091634,84.539519582394,"A24",8170.08373526259,10789.6603697749,9050,145,100,100,145,"Polyamide (naturally occurring)",0.781205877791979,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",107.344389140063,0.689655172413793,0.0228124078462638,"image",1146.70529679222,3941.20801836246,2927.74952480437,-4974.85749877948,"546",8362.65092731631,-2677.77315255779,387.555,27.271,19.652,19.652,27.412,"Polyethylene (PE)",9.42,"Comparstic Raman F2Ba Au IAEA 240930.csv",3005.56997426034,-5003.97751428359,0,262.160672515785,0.316944175538611,FALSE
8,26,5,69.224108325399,69.8458107834144,"A26",2176.3005952381,7029.49851190476,8087.5,175,72,72,175,"Polyethylene terephthalate",0.921203429248864,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",101.475735119513,0.412422379390774,0.0412034899755095,"image",-4847.07784323228,181.046160492302,-3780.19132434147,-1999.20646820654,"454",1536.41329220288,383.155202536387,1996.93,105.231,29.38,29.38,99.314,"Polypropylene (PP)",96.54,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3820.66766085309,-1943.04915918942,0,153.776106268081,0.450161666889389,FALSE
9,28,591,91.7755674802476,92.3639539275903,"A28",4874.51492537314,5374.86940298507,6925,107,89,89,107,"Polyethylene terephthalate",0.866495534103227,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",93.8998607415954,0.830845715471495,0.301483037581058,"image",-2148.86351309724,-1473.58294842738,-1254.42215232378,97.551213301597,"782",4083.55116008601,2513.52000481592,1802.329,62.841,37.07,37.07,63.722,"Polyphenylene sulphide (PPS)",13.23,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1273.52979296996,187.315643090116,0,93.529570485942,0.981246540569134,TRUE
10,33,363,26.5146379863908,27.4979464224024,"A33",10135.8700980392,4853.00245098039,6375,416,57,57,416,"Cellulosic",0.833985981033295,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",90.0938516086789,7.29736184865589,0.395827422555158,"image",3112.49165956884,-1995.44990043207,4069.76321405476,1409.65981959866,"570",9414.34274024439,3759.2466609589,2044.386,62.249,47.296,47.296,64.296,"Polyamide (PA)",57.42,"Comparstic Raman F2Ba Au IAEA 240930.csv",4057.26178718842,1433.0422992331,1,78.2169678191096,0.338988313222656,FALSE
11,38,118,19.0630077610055,19.9751026477176,"A38",9433.89880952381,2799.55182072829,4550,110,57,57,110,"Polyethylene terephthalate",0.918361068411598,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.1133360755196,0.516129006996268,0.6064974440926,"image",2410.52037105343,-4048.90053068417,3046.12534326707,3414.10385666128,"637",8384.4654954884,5743.79829703553,691.898,35.764,27.184,25.833,38.463,"Cellulose Acetate Butyrate (CAB)",90.96,"Comparstic Raman F2Ba Au IAEA 240930.csv",3027.38454243243,3417.59393530973,1,102.275697700232,0.186388440163749,FALSE
