"raman_particle_id","ftir_particle_id","ftir_material","ftir_raman_distance","ldir_particle_id","ldir_material","ldir_raman_distance","raman_material"
"167","MP_-1","Protein",12.7736216642425,"A169","Polyamide",29.8253964114385,"Polyacrylamide/acrylate"
"180","MP_-1","Protein",21.7943103024404,"A85","Polycarbonate",98.3479590860271,"Polyethylene naphtalate (PEN)"
"185","MP_-1","Cellulose",34.6968877028427,"A17","Polyethylene terephthalate",44.6217145427548,"Polyamide (PA)"
"207","MP_-1","Protein",12.4123294056771,"A117","Polycarbonate",69.3767507414811,"Cellulose Acetate Butyrate (CAB)"
"215","MP_-1","Protein",11.3970279886809,"A22","Polyethylene terephthalate",77.3523680975869,"Polyacrylamide/acrylate"
"398","MP_-1","Protein",15.5144085523302,"A6","Polyethylene terephthalate",68.9532805146305,"Cellulose Acetate Butyrate (CAB)"
"417","MP_-1","Protein",33.1836298316918,"A87","Polyamide (naturally occurring)",95.5287510433538,"Polyacrylamide/acrylate"
"506","MP_15","PET",31.2569383541997,"A132","Polyamide (naturally occurring)",91.5883092035566,"Polyethylene terephtalate (PET)"
"570","MP_-1","Cellulose",16.4168082581352,"A33","Cellulosic",26.5146379863908,"Polyamide (PA)"
"644","MP_-1","Protein",13.1343139083478,"A74","Polyethylene terephthalate",30.5857966377253,"Polycarbonate (PC)"
"672","MP_-1","Protein",28.2359872703263,"A111","Carbonate",92.5820342668541,"Polyphenylene sulphide (PPS)"
