"match_id","ftir_material_raw","raman_material_raw","ftir_material_norm","raman_material_norm","agree","match_distance"
229,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,20.0980881864697
230,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,20.2655117918963
232,"Protein","Polyamide (PA)","PROTEIN","PA",FALSE,20.398845381593
233,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,20.4203899666586
235,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,20.612469563927
237,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,20.6366830271009
241,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,21.1307587604554
243,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,21.7121007750382
246,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,21.8794644522218
247,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,21.9038626907111
248,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,22.1457447162972
249,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,22.1614073831839
250,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,22.3112661909213
251,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,22.4820861805641
252,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,22.8348127969992
255,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,23.2312713958696
256,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,23.7723186722539
257,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,23.7998005575205
258,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,23.9785480378742
259,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,24.1669440918061
260,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,24.1954941086891
270,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,25.7246492376312
272,"Protein","Polyamide (PA)","PROTEIN","PA",FALSE,25.9382085315248
274,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,26.1490043131756
276,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,26.5475698546334
277,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,26.9326962936193
279,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,27.2655908051304
280,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,27.354317842452
286,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,28.1251405793551
288,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,28.3763589038854
290,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,28.6337387073255
292,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,29.1171424370904
294,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,30.0081054307181
298,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,31.183854332525
299,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,31.5576955655389
304,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,33.0110476870489
305,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,33.0838233361678
306,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,33.1815915091548
308,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,34.6885151261997
311,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,37.5946715744735
312,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,38.0225948511814
313,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,53.6858701494793
314,"Protein","Polyethylene terephtalate (PET)","PROTEIN","PET",FALSE,56.9305387677916
315,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,59.4345140451412
316,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,70.4510620299348
317,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,73.1032676718129
318,"Cellulose","Polyethylene terephtalate (PET)","CELLULOSE","PET",FALSE,80.2567074893297
320,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,85.8058835144566
