"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","x_norm","y_norm"
"791",765.440527594578,-1002.64394397474,794.224,36.533,28.415,28.298,36.533,"Polyethylene (PE)",98.74,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4591.64042546139,-3328.84830570054
"330",2766.06605600853,-3763.33495291096,1093.788,39.537,36.969,36.969,39.781,"Polyamide (PA Nylon 12)",96.83,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2591.01489704744,-6089.53931463676
"30",3666.77809448242,2487.11289597603,438.471,23.95,23.95,23.651,24.507,"Polyamide (PA)",96.63,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1690.30285857355,160.908534250226
"454",1536.41329220288,383.155202536387,1996.93,105.231,29.38,29.38,99.314,"Polypropylene (PP)",96.54,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3820.66766085309,-1943.04915918942
"630",4810.32072076666,3682.32160477312,6329.736,147.861,65.828,65.828,148.421,"Polyethylene terephtalate (PET)",95.76,"Comparstic Raman F2Ba Au IAEA 240930.csv",-546.760232289313,1356.11724304732
"101",11956.3139998762,-3304.08088613014,1986.549,81.91,44.884,44.884,82.666,"Polyamide (PA)",95.48,"Comparstic Raman F2Ba Au IAEA 240930.csv",6599.23304682023,-5630.28524785594
"385",8649.11065147085,4906.23369274401,1112.902,47.709,39.739,39.739,48.305,"Cellulose Acetate Butyrate (CAB)",95.27,"Comparstic Raman F2Ba Au IAEA 240930.csv",3292.02969841488,2580.02933101821
"247",6604.85598671272,5053.76906169735,1168.597,46.902,33.784,33.638,47.074,"Cellulose Acetate Butyrate (CAB)",95.26,"Comparstic Raman F2Ba Au IAEA 240930.csv",1247.77503365675,2727.56469997155
"599",3216.13504145373,-4262.7737505351,653.34,31.764,28.187,28.187,32.605,"Cellulose Acetate Butyrate (CAB)",94.74,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2140.94591160224,-6588.9781122609
"316",5583.01568812539,4985.4550192637,400.078,31.574,18.944,18.592,32.117,"Polypropylene (PP)",94.64,"Comparstic Raman F2Ba Au IAEA 240930.csv",225.934735069417,2659.2506575379
"395",1149.49174094004,1239.66403708262,514.927,26.407,25.833,24.783,29.774,"Polyamide (PA)",94.44,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4207.58921211593,-1086.54032464318
"303",11747.353399491,535.85717974101,800.815,32.722,31.574,31.256,34.232,"Cellulose Acetate Butyrate (CAB)",94.29,"Comparstic Raman F2Ba Au IAEA 240930.csv",6390.27244643503,-1790.34718198479
"690",2107.03647017805,980.185489351456,503.723,30.426,21.815,21.815,30.426,"Polyamide (PA)",94.11,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3250.04448287792,-1346.01887237435
"106",5181.74244727565,1515.21647715111,712.66,32.274,28.897,28.703,33.87,"Cellulose Acetate Butyrate (CAB)",93.94,"Comparstic Raman F2Ba Au IAEA 240930.csv",-175.338505780323,-810.987884574694
"657",6476.26484801409,2663.35164410317,2253.323,80.059,35.944,35.944,80.058,"Polyamide (PA)",93.73,"Comparstic Raman F2Ba Au IAEA 240930.csv",1119.18389495812,337.147282377367
"682",4663.93348698027,-4479.19722950557,761.434,32.722,29.852,29.194,36.533,"Polyacrylamide/acrylate",93.55,"Comparstic Raman F2Ba Au IAEA 240930.csv",-693.147466075703,-6805.40159123137
"50",562.220603044064,2460.13171955265,1161.512,48.731,32.719,32.719,50.063,"Cellulose Acetate Butyrate (CAB)",93.41,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4794.86035001191,133.927357826846
"476",5597.36737771229,6026.23954810574,377.339,32.131,16.616,16.616,31.574,"Cellulose Acetate Butyrate (CAB)",93.4,"Comparstic Raman F2Ba Au IAEA 240930.csv",240.286424656318,3700.03518637994
"61",6429.19130616905,-3234.61870852954,692.557,30.03,29.163,29.043,32.676,"Polyamide (PA)",93.39,"Comparstic Raman F2Ba Au IAEA 240930.csv",1072.11035311308,-5560.82307025534
"568",4731.09939424697,5871.24130056721,488.234,37.995,19.079,19.079,37.888,"Cellulose Acetate Butyrate (CAB)",93.35,"Comparstic Raman F2Ba Au IAEA 240930.csv",-625.981558809002,3545.03693884141
"620",4654.17433806118,1042.18478836687,644.277,43.424,21.146,21.146,43.388,"Cellulose Acetate Butyrate (CAB)",93.26,"Comparstic Raman F2Ba Au IAEA 240930.csv",-702.906614994793,-1284.01957335893
"670",2775.25113734415,-1857.43057577055,447.369,32.605,18.998,18.998,32.605,"Cellulose Acetate Butyrate (CAB)",93.26,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2581.82981571182,-4183.63493749635
"363",5367.16627673841,6241.51489190925,348.668,27.555,17.796,17.033,29.524,"Cellulose Acetate Butyrate (CAB)",93.2,"Comparstic Raman F2Ba Au IAEA 240930.csv",10.0853236824369,3915.31053018345
"595",8254.15215403934,5832.20470489084,693.71,35.592,26.981,26.981,35.592,"Cellulose Acetate Butyrate (CAB)",93.09,"Comparstic Raman F2Ba Au IAEA 240930.csv",2897.07120098337,3506.00034316504
"360",2679.95591848713,2856.23835215111,91420.473,660.172,211.368,211.368,656.27,"Polyethylene terephtalate (PET)",93.07,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2677.12503456884,530.033990425306
"179",400.333544503825,2322.35549951841,657.789,30.038,28.24,27.826,31.835,"Polyacrylamide/acrylate",93.05,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4956.74740855215,-3.84886220739372
"319",9317.89938622042,1295.92266026327,987.013,37.866,34.207,34.207,39.037,"Cellulose Acetate Butyrate (CAB)",92.99,"Comparstic Raman F2Ba Au IAEA 240930.csv",3960.81843316445,-1030.28170146253
"540",4659.91501389594,5924.055518247,929.176,65.932,19.271,19.271,64.953,"Cellulose Acetate Butyrate (CAB)",92.9,"Comparstic Raman F2Ba Au IAEA 240930.csv",-697.165939160032,3597.8511565212
"704",8472.29783576023,3616.87790025685,1859.341,75.74,33.749,33.749,75.736,"Polyethylene terephtalate (PET)",92.9,"Comparstic Raman F2Ba Au IAEA 240930.csv",3115.21688270426,1290.67353853105
"776",3669.07436481632,5513.59719606164,905.613,34.444,34.444,33.1,36.461,"Polyethylene terephtalate (PET)",92.86,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1688.00658823965,3187.39283433584
"408",5533.07180836298,-3889.62982127568,464.341,24.743,22.883,22.883,26.187,"Cellulose Acetate Butyrate (CAB)",92.83,"Comparstic Raman F2Ba Au IAEA 240930.csv",175.990855307007,-6215.83418300148
"475",5066.92893058044,6035.42462944135,640.982,31.67,30.446,29.868,35.686,"Cellulose Acetate Butyrate (CAB)",92.76,"Comparstic Raman F2Ba Au IAEA 240930.csv",-290.152022475533,3709.22026771555
"357",4145.55045910142,492.228043396833,535.36,29.277,23.537,23.307,33.286,"Polyacrylamide/acrylate",92.74,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1211.53049395455,-1833.97631832897
"753",904.938950379252,2560.01947907748,895.727,42.266,28.545,28.545,42.116,"Cellulose Acetate Butyrate (CAB)",92.64,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4452.14200267672,233.815117351676
"507",1736.76287883601,-601.944770708476,1277.02,45.828,36.619,36.166,46.499,"Polyamide (PA)",92.56,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3620.31807421996,-2928.14913243428
"3",10287.4995347114,2507.77932898116,1121.471,38.829,37.803,36.376,41.753,"Polyethylene terephtalate (PET)",92.5,"Comparstic Raman F2Ba Au IAEA 240930.csv",4930.41858165543,181.574967255356
"27",6178.32377219003,831.501985231164,428.255,28.91,23.105,22.963,32.068,"Cellulose Acetate Butyrate (CAB)",92.43,"Comparstic Raman F2Ba Au IAEA 240930.csv",821.242819134057,-1494.70237649464
"41",10313.9066435513,2475.05747672303,339.935,27.615,16.797,16.496,28.182,"Cellulose Acetate Butyrate (CAB)",92.32,"Comparstic Raman F2Ba Au IAEA 240930.csv",4956.82569049533,148.853114997226
"422",4853.37578952736,428.506541630994,609.674,31.067,25.938,25.868,32.148,"Cellulose Acetate Butyrate (CAB)",92.3,"Comparstic Raman F2Ba Au IAEA 240930.csv",-503.705163528613,-1897.69782009481
"754",3995.1447522307,3565.78588532748,612.311,33.296,23.537,23.537,33.375,"Cellulose Acetate Butyrate (CAB)",92.21,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1361.93620082527,1239.58152360168
"557",6641.02224447171,-2715.08754548373,512.291,38.17,18.724,18.724,37.314,"Polyacrylamide/acrylate",92.21,"Comparstic Raman F2Ba Au IAEA 240930.csv",1283.94129141574,-5041.29190720953
"703",9000.44001255818,960.093123929794,665.204,42.593,21.47,21.47,41.874,"Cellulose Acetate Butyrate (CAB)",92.14,"Comparstic Raman F2Ba Au IAEA 240930.csv",3643.35905950221,-1366.11123779601
"131",3639.22285047557,4283.94443225599,1313.601,43.852,38.958,38.098,47.2,"Polyacrylamide/acrylate",92,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1717.8581025804,1957.74007053019
"55",9341.43615714294,-60.0249719071062,802.793,41.299,30.251,25.962,47.648,"Polyethylene terephtalate (PET)",91.85,"Comparstic Raman F2Ba Au IAEA 240930.csv",3984.35520408697,-2386.22933363291
"485",3200.63521669988,-4020.51723030822,357.73,33.001,15.816,15.816,32.148,"Polyacrylamide/acrylate",91.6,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2156.44573635609,-6346.72159203402
"471",1123.08463210014,-1614.02592037671,605.719,33.296,24.111,23.391,34.673,"Polyethylene terephtalate (PET)",91.59,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4233.99632095583,-3940.23028210251
"730",9813.89377834371,1706.38098244863,2039.937,66.21,47.665,47.665,66.572,"Polyethylene terephtalate (PET)",91.53,"Comparstic Raman F2Ba Au IAEA 240930.csv",4456.81282528774,-619.823379277174
"98",7248.38574778934,-1170.84574593322,783.843,36.166,33.87,29.436,42.137,"Cellulose Acetate Butyrate (CAB)",91.51,"Comparstic Raman F2Ba Au IAEA 240930.csv",1891.30479473337,-3497.05010765902
"237",4659.91501389594,5095.10192770762,324.281,22.819,19.472,18.916,23.521,"Polyethylene terephtalate (PET)",91.41,"Comparstic Raman F2Ba Au IAEA 240930.csv",-697.165939160032,2768.89756598182
"606",10255.3517500368,4611.16295483733,558.099,34.349,24.082,24.082,34.098,"Cellulose Acetate Butyrate (CAB)",91.35,"Comparstic Raman F2Ba Au IAEA 240930.csv",4898.27079698083,2284.95859311153
"468",1893.48332912497,3910.80050299658,1345.732,41.59,41.334,41.334,42.874,"Polyamide (PA)",91.23,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3463.597623931,1584.59614127078
