"match_id","ldir_idx","ftir_idx","match_distance","match_score","ldir_particle_id","ldir_x_um","ldir_y_um","ldir_area_um2","ldir_major_um","ldir_minor_um","ldir_feret_min_um","ldir_feret_max_um","ldir_material","ldir_quality","ldir_source_file","ldir_diameter_um","ldir_aspect_ratio","ldir_coord_match_cost","ldir_coord_source","ldir_x_norm","ldir_y_norm","ldir_x_aligned","ldir_y_aligned","ldir_align_method","ftir_particle_id","ftir_x_um","ftir_y_um","ftir_area_um2","ftir_major_um","ftir_minor_um","ftir_feret_min_um","ftir_feret_max_um","ftir_material","ftir_quality","ftir_source_file","ftir_x_norm","ftir_y_norm","ftir_x_aligned","ftir_y_aligned","n_ref_candidates","next_best_distance","ambiguity_score","ambiguity_flag"
11,12,307,13.5212219057563,13.9928554393971,"A12",813.202,-4177.81,24787.5,297,147,147,297,"Polyethylene terephthalate",0.85274100878399,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",177.652540694252,2.02253527198147,1.31015547080538,"circle_calibrated",-4240.71069306931,-1393.20809504951,-3152.0931434386,-2104.03204749344,"landmark_ransac","MP_19",9825,6925,9375,175,68.2,75,175,"PET",0.856,"Comparstic Spotlight F2Ba Au 240926.csv",-3144.7646940324,-2092.66906940117,-3144.7646940324,-2092.66906940117,1,438.095167615265,0.0308636636632127,FALSE
12,13,189,6.73937946075268,6.80860792380084,"A13",-3966.872,-3.32800000000052,23425,263,130,130,263,"Polyethylene terephthalate",0.781167895347737,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",172.701002705315,0.495667293872211,0.117721855188525,"circle_calibrated",-66.2286930693074,3386.8659049505,736.320556422658,2276.96860370901,"landmark_ransac","MP_10",6275,2275,21875,228.9,121.7,145,228.9,"PET",0.942,"Comparstic Spotlight F2Ba Au 240926.csv",733.759922728932,2270.7346330159,733.759922728932,2270.7346330159,1,118.239404365959,0.0569977453530961,FALSE
13,14,293,163.408286922997,163.632699463389,"A14",1978.99,-3868.202,21112.5,437,191,191,437,"Polyethylene terephthalate",0.906822932618016,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",163.955084972138,0.437253457896217,0.471714059538831,"circle_calibrated",-3931.10269306931,-2558.99609504951,-2874.96953660188,-3182.33218833554,"landmark_ransac","MP_-1",9425,8150,18125,258.2,89.4,142.5,258.2,"Cellulose",0.901,"Comparstic Spotlight F2Ba Au 240926.csv",-2837.80364669986,-3341.45781437642,-2837.80364669986,-3341.45781437642,0,73.3501554149665,2.22778378584941,TRUE
14,15,273,21.1183343690323,21.4056885751728,"A15",-3745.69,-2614.82,18800,220,120,120,220,"Polyethylene terephthalate",0.87095202394214,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",154.715556557901,1.83333333333333,0.542816037179382,"circle_calibrated",-2677.72069306931,3165.6839049505,-1675.68817075679,2092.1756001677,"landmark_ransac","MP_16",8650,2625,10625,152.5,88.7,127.5,152.5,"PET",0.823,"Comparstic Spotlight F2Ba Au 240926.csv",-1655.71911385729,2099.04734034517,-1655.71911385729,2099.04734034517,1,269.008872367379,0.0785042299281173,FALSE
15,17,25,107.123519725499,107.410025801956,"A17",-3305.588,4718.168,16550,447,135,135,447,"Polyethylene terephthalate",0.884980070766979,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",145.162372760185,0.302042575961249,0.114581946798668,"circle_calibrated",4655.26730693069,2725.5819049505,5089.29224889396,1631.62014505776,"landmark_ransac","MP_-1",1975,2550,16250,200.9,103,175,200.9,"Cellulose",0.693,"Comparstic Spotlight F2Ba Au 240926.csv",4992.402576213,1677.31303078579,4992.402576213,1677.31303078579,0,206.911600006853,0.517726022716713,FALSE
16,18,132,290.088492919624,290.799227207847,"A18",-4342.026,1624.662,14337.5,646,66,66,646,"Cellulosic",0.867312864284858,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",135.111331769916,0.102597408274143,0.19184556655118,"circle_calibrated",1561.76130693069,3762.01990495049,2241.71226585781,2611.16466281821,"landmark_ransac","MP_-1",4650,2075,6250,170.8,46.6,72.5,170.8,"Cellulose",0.698,"Comparstic Spotlight F2Ba Au 240926.csv",2365.73127040469,2348.92313247723,2365.73127040469,2348.92313247723,0,285.961931050397,1.01443045881691,TRUE
17,19,185,571.297044395491,572.262437526965,"A19",-3266.146,456.82,13425,371,65,65,371,"Rubber",0.757959687261123,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",130.74112164147,5.75074564753788,0.0730848015902548,"circle_calibrated",393.919306930693,2686.1399049505,1155.83716979206,1626.79827198052,"landmark_ransac","MP_-1",6175,2450,3125,80.9,49.2,50,80.9,"Cellulose",0.74,"Comparstic Spotlight F2Ba Au 240926.csv",820.260261773819,2089.14927688907,820.260261773819,2089.14927688907,0,237.061739727556,2.40990825871799,TRUE
18,20,335,23.2735946810139,23.5451722766261,"A20",2257.372,-5173.454,12862.5,152,110,110,152,"Polyethylene terephthalate",0.910899743593897,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",127.97282385005,0.723684219607356,0.275003269839455,"circle_calibrated",-5236.35469306931,-2837.3780950495,-4081.76151033644,-3429.60102492911,"landmark_ransac","MP_-1",10675,8350,6250,150,53.1,80,150,"Protein",0.757,"Comparstic Spotlight F2Ba Au 240926.csv",-4096.59833689853,-3447.53224872847,-4096.59833689853,-3447.53224872847,1,211.923159711255,0.109820912035872,FALSE
19,21,116,53.2361562987666,54.4568252648194,"A21",-4921.878,2216.136,10525,497,95,95,497,"Polyethylene terephthalate",0.911626678055639,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",115.762024033521,5.20911818823921,0.856542538545165,"circle_calibrated",2153.23530693069,4341.87190495049,2791.93175028093,3141.97605165087,"landmark_ransac","MP_-1",4300,1200,1875,60.4,39.6,50,60.4,"Protein",0.779,"Comparstic Spotlight F2Ba Au 240926.csv",2779.09666546165,3193.64179402576,2779.09666546165,3193.64179402576,0,97.3110653803717,0.547071970599396,FALSE
20,22,133,5.66841367579084,5.87014901731667,"A22",1464.814,1317.992,9250,143,106,106,143,"Polyethylene terephthalate",0.855234937742436,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",108.524033231355,1.35475579425798,0.144393681662024,"circle_calibrated",1255.09130693069,-2044.8200950495,1915.62350518299,-2746.19207557775,"landmark_ransac","MP_8",4725,7200,6250,115.1,69.1,75,115.1,"PET",0.788,"Comparstic Spotlight F2Ba Au 240926.csv",1909.98816206944,-2745.58066606481,1909.98816206944,-2745.58066606481,1,176.128740686165,0.0321833543674232,FALSE
