"raman_particle_id","ftir_particle_id","ftir_material","ftir_raman_distance","ldir_particle_id","ldir_material","ldir_raman_distance","raman_material","n_instrument_agreement","ftir_family","raman_family","ldir_family","material_consensus"
"373","MP_-1","Protein",12.0869785402871,"A482","Polyamide (naturally occurring)",5.11122282813521,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"374","MP_23","PET",8.80532686467468,"A48","Polyethylene terephthalate",3.98490916224373,"Polyethylene terephtalate (PET)",3,"PET","PET","PET","Full agreement"
"377","MP_-1","Protein",11.0068637155528,"A295","Polyamide (naturally occurring)",11.2970597786591,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"379","MP_-1","Protein",16.4458018540383,"A174","Carbonate",234.850386289673,"Polytetrafluoroethylene (PTFE)",0,"Protein","PTFE","Natural","No agreement"
"38","MP_-1","Protein",10.9248943751456,"A411","Polyamide",3.43738142942183,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","PA","No agreement"
"380","MP_-1","Protein",26.4874176710586,"A270","Polyamide (naturally occurring)",87.6306493879267,"Polyvinyl Chloride (PVC)",0,"Protein","PVC","Natural","No agreement"
"383","MP_-1","Protein",8.36638874005127,"A304","Polyamide (naturally occurring)",7.01010909646985,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"387","MP_-1","Protein",11.0049357722587,"A449","Polyamide (naturally occurring)",323.811750054452,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"389","MP_-1","Protein",6.59072673906752,"A404","Polyamide",12.0853825647242,"Polyphenylene sulphide (PPS)",0,"Protein","Unknown","PA","No agreement"
"401","MP_-1","Protein",3.02899786838325,"A363","Polyamide (naturally occurring)",11.4468712752158,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"402","MP_14","PET",13.0183151657434,"A35","Polyamide (naturally occurring)",5.63429617365206,"Polyethylene terephtalate (PET)",1,"PET","PET","Natural","FTIR+Raman agree"
