"raman_particle_id","ftir_particle_id","ftir_material","ftir_raman_distance","ldir_particle_id","ldir_material","ldir_raman_distance","raman_material","n_instrument_agreement","ftir_family","raman_family","ldir_family","material_consensus"
"762","MP_-1","Cellulose",22.660857892005,"A309","Polyamide (naturally occurring)",155.174305389349,"Polyamide (PA)",0,"Cellulose","PA","Natural","No agreement"
"763","MP_2","PET",28.0775070661973,"A31","Cellulosic",9.98122002147496,"Polyethylene terephtalate (PET)",1,"PET","PET","Cellulose","FTIR+Raman agree"
"769","MP_-1","Protein",23.896960701064,"A438","Polyamide (naturally occurring)",9.89696148298751,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"770","MP_-1","Cellulose",26.5421421340791,"A29","Cellulosic",19.9603339941863,"Polyamide (PA)",1,"Cellulose","PA","Cellulose","FTIR+LDIR agree"
"773","MP_-1","Protein",19.3934168952228,"A135","Polyamide (naturally occurring)",13.7014636815143,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"774","MP_-1","Protein",29.0839561060525,"A144","Polyamide (naturally occurring)",7.24387159931279,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"78","MP_-1","Protein",13.8170128655168,"A311","Polyamide (naturally occurring)",72.1786784491238,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"784","MP_-1","Protein",9.33306513654799,"A54","Polyethylene terephthalate",2.05429268771125,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","PET","No agreement"
"79","MP_-1","Protein",36.7765594506333,"A355","Polyamide (naturally occurring)",7.73717893425403,"Polycarbonate (PC)",0,"Protein","PC","Natural","No agreement"
"790","MP_-1","Protein",21.8666558735887,"A21","Polyethylene terephthalate",31.3709181522607,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","PET","No agreement"
"84","MP_-1","Protein",17.894179430169,"A159","Polyvinyl chloride",6.64212340115848,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","PVC","No agreement"
"87","MP_-1","Protein",11.5957288796232,"A101","Polyamide (naturally occurring)",5.79114488101935,"Polystyrene (PS)",0,"Protein","PS","Natural","No agreement"
"88","MP_-1","Protein",13.0912738503082,"A239","Cellulosic",2.95372022548843,"Polyvinyl Chloride (PVC)",0,"Protein","PVC","Cellulose","No agreement"
"96","MP_-1","Cellulose",10.4270076270891,"A293","Polyamide",15.1901653946772,"Polyamide (PA)",1,"Cellulose","PA","PA","LDIR+Raman agree"
