"match_id","ldir_idx","raman_idx","match_distance","match_score","ldir_particle_id","ldir_x_um","ldir_y_um","ldir_area_um2","ldir_major_um","ldir_minor_um","ldir_feret_min_um","ldir_feret_max_um","ldir_material","ldir_quality","ldir_source_file","ldir_diameter_um","ldir_aspect_ratio","ldir_coord_match_cost","ldir_coord_source","ldir_x_norm","ldir_y_norm","ldir_x_aligned","ldir_y_aligned","raman_particle_id","raman_x_um","raman_y_um","raman_area_um2","raman_major_um","raman_minor_um","raman_feret_min_um","raman_feret_max_um","raman_material","raman_quality","raman_source_file","raman_x_norm","raman_y_norm","n_ref_candidates","next_best_distance","ambiguity_score","ambiguity_flag"
1,24,315,81.9380488389811,83.4371508710286,"A24",7965.20833333333,7814.625,9050,145,100,100,145,"Polyamide (naturally occurring)",0.781205877791979,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",107.344389140063,0.689655172413793,0.331171608729849,"image",2101.97152915838,1365.72839628893,-380.855672046723,2091.74998333849,"696",4972.2077793069,4499.79384364298,351.634,25.043,20.095,20.018,26.43,"Polyacrylamide/acrylate",69.48,"Comparstic Raman F2Ba Au IAEA 240930.csv",-384.873173749073,2173.58948191718,0,163.634780764717,0.500737364367518,FALSE
2,32,699,78.8620988744667,79.9858409306869,"A32",7550.8875,124.258333333333,6450,111,81,81,111,"Polyethylene terephthalate",0.881695252838208,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",90.6222658265715,1.37755096363061,0.0252132442934478,"image",1687.65069582505,-6324.63827037773,4437.94516658017,-3923.4166163486,"428",9717.45042431974,-1583.02627086901,548.212,27.77,26.274,26.274,33.286,"Polycarbonate (PC)",6.45,"Comparstic Raman F2Ba Au IAEA 240930.csv",4360.36947126377,-3909.23063259481,0,132.1716757211,0.596664137336627,FALSE
3,38,77,10.2902052393162,10.3952748991174,"A38",5939.97083333333,1594.66666666667,4550,110,57,57,110,"Polyethylene terephthalate",0.918361068411598,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.1133360755196,0.516129006996268,0.0354351073165662,"image",76.7340291583823,-4854.2299370444,2255.32960150102,-3900.30180034413,"368",7610.04832537924,-1564.0820406143,4543.72,87.373,73.131,73.131,88.111,"Polyethylene terephtalate (PET)",91.93,"Comparstic Raman F2Ba Au IAEA 240930.csv",2252.96737232327,-3890.2864023401,1,225.100597420381,0.0457138068811919,FALSE
4,49,314,86.5948488525984,87.5549035352845,"A49",2390.10416666667,2355.70833333333,3275,80,50,50,80,"Polyethylene terephthalate",0.911702241758719,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",64.5744493511765,0.625,0.117395691688663,"image",-3473.13263750828,-4093.18827037773,-901.206771415822,-5699.45227472775,"93",4440.6211970081,-3288.00699379281,411.283,26.47,20.142,20.142,27.555,"Polyacrylamide/acrylate",69.78,"Comparstic Raman F2Ba Au IAEA 240930.csv",-916.459756047872,-5614.21135551861,0,264.909502000823,0.326884646260554,FALSE
5,57,649,68.3391833489702,68.9091276320392,"A57",7520.5,5657.6,2712.5,60,60,60,60,"Cellulosic",0.822302459045794,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",58.7678676241884,1,0.759514267176656,"image",1657.26319582505,-791.296603711067,725.601147939091,185.547308225831,"729",6067.52872857916,2578.38964174872,572.105,53.217,17.651,17.651,53.176,"Polyethylene naphtalate (PEN)",9.25,"Comparstic Raman F2Ba Au IAEA 240930.csv",710.447775523187,252.185280022916,0,320.860959742774,0.212986906863821,FALSE
6,63,378,61.0152599345658,61.8545632629069,"A63",647.291666666667,5734.02916666667,2462.5,73,54,54,73,"Carbonate",0.860504115038641,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",55.9942173702815,0.735849120257435,0.289548487248698,"image",-5215.94513750828,-714.867437044401,-4454.45711573808,-4340.51698433118,"69",896.327936627112,-2075.00218990796,412.601,26.101,21.843,20.738,27.603,"Polyvinyl Chloride (PVC)",53.44,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4460.75301642886,-4401.20655163376,0,194.932303994597,0.313007432243026,FALSE
7,66,623,86.1585320033288,87.3283844488264,"A66",4516.47083333333,11030.7166666667,2387.5,180,30,30,180,"Cellulosic",0.94209901081891,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",55.1349200875017,6,0.978377329799034,"image",-1346.76597084162,4581.8200629556,-5098.96794350303,2192.10096048193,"668",174.724984197747,4539.9785744863,357.236,30.909,18.584,18.584,31,"Polyether sulphone (PES)",10.96,"Comparstic Raman F2Ba Au IAEA 240930.csv",-5182.35596885823,2213.7742127605,0,614.799505808065,0.140140860865016,FALSE
8,85,750,53.9517918154944,54.4365096197184,"A85",8488.025,7132.88333333333,1700,60,39,39,60,"Polycarbonate",0.887871498426707,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",46.5242649168128,1.54545453430827,0.579462980970404,"image",2624.78819582505,683.986729622266,463.883148662202,1931.62141308977,"97",5848.80897927479,4304.03679767765,443.25,49.528,24.96,24.96,49.292,"Polyether sulphone (PES)",3.49,"Comparstic Raman F2Ba Au IAEA 240930.csv",491.728026218817,1977.83243595185,0,169.073015996516,0.319103503876727,FALSE
9,98,242,93.7059369896077,94.0131154047866,"A98",2569.88333333333,4672.47083333333,1425,53,35,35,53,"Polyamide (naturally occurring)",0.970435445372751,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",42.5953794588991,0.666666666666667,0.390600924328619,"image",-3293.35347084162,-1776.42577037773,-2311.87954295303,-3850.70280587998,"370",2952.06395305476,-1534.80459385702,694.04,38.451,24.518,24.389,39.537,"Polyacrylamide/acrylate",81.96,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2405.01700000121,-3861.00895558282,0,136.876707335328,0.684601045815936,FALSE
10,101,313,35.6788278176977,36.0574216730163,"A101",9806.00833333333,6795.80416666667,1400,45,40,40,45,"Polyamide (naturally occurring)",0.92007180937491,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",42.2200824564475,0.888888888888889,0.338309200450916,"image",3942.77152915838,346.907562955599,1672.18767118858,2558.91758672771,"427",7035.40667431974,4849.97506956336,495.154,40.877,22.762,22.762,40.795,"Polyacrylamide/acrylate",69.8,"Comparstic Raman F2Ba Au IAEA 240930.csv",1678.32572126377,2523.77070783756,1,94.9005098572755,0.375960338583601,FALSE
