"particle_id","x_um","y_um","coord_match_cost","coord_source","material","quality","feret_max_um"
"A1",1694.98333333333,10015.1458333333,0.27645411947195,"image","Polyethylene terephthalate",0.839804702046538,739
"A2",7457.88333333333,520.054166666667,0.1430474208626,"image","Polyethylene terephthalate",0.844333495567771,648
"A3",5246.69166666667,5849.1875,0.24320589479997,"image","Polyethylene terephthalate",0.812781291857113,427
"A4",5673.14583333333,4231.5,0.376862945972878,"image","Polyethylene terephthalate",0.877067095480206,633
"A5",4489.49583333333,2917.95833333333,0.260407310424107,"image","Polyethylene terephthalate",0.750639130991263,656
"A6",3263.54166666667,10558.3291666667,0.258138730689575,"image","Polyethylene terephthalate",0.855330065989846,308
"A7",6003.075,1766.5375,0.309747551695087,"image","Polyethylene terephthalate",0.784742605201264,362
"A8",11617.1791666667,9077.575,0.342634863678067,"image","Polyethylene terephthalate",0.810669600094303,272
"A9",1648.2375,8173.9125,0.501176712870578,"image","Cellulosic",0.932922337685594,1113
"A10",3099.14583333333,654.333333333334,0.257492627903282,"image","Polyethylene terephthalate",0.893747145334681,235
"A11",2397.47083333333,1211.7625,0.232673929234795,"image","Cellulosic",0.777987093272813,269
"A12",2528.44583333333,6496.9125,0.211622626272045,"image","Polyethylene terephthalate",0.85274100878399,297
"A13",6650.04166666667,9835.09583333333,0.263165631197275,"image","Polyethylene terephthalate",0.781167895347737,263
"A14",8521.06666666667,2659.8,0.284067341020022,"image","Polyethylene terephthalate",0.906822932618016,437
"A15",4281.33333333333,12009.6166666667,0.294245968020034,"image","Polyethylene terephthalate",0.87095202394214,220
"A16",986.808333333333,7034.625,0.457679128394948,"image","Polyvinyl chloride",0.692078609187708,831
"A17",3228.225,6959.0625,0.175018520235693,"image","Polyethylene terephthalate",0.884980070766979,447
"A18",2170.56666666667,8131.60833333333,0.295221737658729,"image","Cellulosic",0.867312864284858,646
"A19",3185.1625,11195.8708333333,0.739491192367669,"image","Rubber",0.757959687261123,371
"A20",2752.47916666667,3887.43333333333,0.249237847390669,"image","Polyethylene terephthalate",0.910899743593897,152
"A21",1552.3625,8786.15833333333,0.480102523528178,"image","Polyethylene terephthalate",0.911626678055639,497
"A22",8754.14583333333,1329.19583333333,0.338161181279403,"image","Polyethylene terephthalate",0.855234937742436,143
"A23",3664.32083333333,825.445833333331,0.373930496639971,"image","Cellulosic",0.917786851676572,263
