"raman_particle_id","ftir_particle_id","ftir_material","ftir_raman_distance","ldir_particle_id","ldir_material","ldir_raman_distance","raman_material"
"102","MP_-1","Protein",3.28383157495487,"A224","Rubber",55.0715294587988,"Polyacrylamide/acrylate"
"137","MP_-1","Protein",31.9462620395728,"A467","Polyamide (naturally occurring)",9.77189472752952,"Polyethylene terephtalate (PET)"
"141","MP_1","PET",37.6909139604141,"A499","Polycarbonate",92.5364538144868,"Polyethylene terephtalate (PET)"
"193","MP_24","PET",28.5205724512844,"A171","Polycarbonate",72.1284233268126,"Polyethylene terephtalate (PET)"
"204","MP_-1","Protein",28.7035982233397,"A330","Polyamide (naturally occurring)",78.9977706970888,"Polyacrylamide/acrylate"
"216","MP_-1","Protein",27.4021121922725,"A325","Polyamide (naturally occurring)",33.0633778182955,"Cellulose Acetate Butyrate (CAB)"
"228","MP_-1","Protein",5.05297719843172,"A345","Polyamide (naturally occurring)",82.6262173886613,"Polyacrylamide/acrylate"
"279","MP_-1","Protein",17.7052439736625,"A174","Carbonate",66.9850705913871,"Cellulose Acetate Butyrate (CAB)"
"327","MP_-1","Cellulose",6.1513516504993,"A204","Polyethylene terephthalate",66.7605864029528,"Polyamide (PA)"
"355","MP_-1","Protein",4.31246492164835,"A277","Polyamide (naturally occurring)",38.9194041884986,"Polycarbonate (PC)"
"368","MP_7","PET",7.41880543224218,"A38","Polyethylene terephthalate",10.2902052393162,"Polyethylene terephtalate (PET)"
"370","MP_-1","Protein",12.4148546889778,"A98","Polyamide (naturally occurring)",93.7059369896077,"Polyacrylamide/acrylate"
"374","MP_23","PET",8.80532686467468,"A156","Cellulosic",61.0714383043078,"Polyethylene terephtalate (PET)"
"462","MP_-1","Cellulose",26.1270825590526,"A446","Polyamide (naturally occurring)",96.4235115008445,"Polyamide (PA)"
"493","MP_-1","Cellulose",6.09244599947256,"A154","Polytetrafluoroethylene",23.5562199530166,"Polyamide (PA)"
"498","MP_-1","Protein",27.2095486111177,"A180","Carbonate",65.4512334772392,"Polyacrylamide/acrylate"
"541","MP_-1","Protein",5.11163507638037,"A103","Polyamide (naturally occurring)",1.35172357184296,"Polyacrylamide/acrylate"
"545","MP_-1","Protein",8.03692341145937,"A255","Polyamide (naturally occurring)",85.6166676087429,"Cellulose Acetate Butyrate (CAB)"
"561","MP_18","PET",15.6519464199206,"A370","Polyamide (naturally occurring)",82.246958404289,"Polyethylene terephtalate (PET)"
"582","MP_-1","Protein",20.3003409209097,"A376","Polyamide (naturally occurring)",25.7187301767536,"Cellulose Acetate Butyrate (CAB)"
"593","MP_-1","Cellulose",7.46714264658831,"A474","Polyamide (naturally occurring)",89.5051520734426,"Polyamide (PA)"
"642","MP_-1","Cellulose",1.74589985406061,"A407","Carbonate",74.6869248320113,"Polyamide (PA)"
"651","MP_-1","Protein",14.7720152748748,"A316","Polyamide (naturally occurring)",55.7502428412878,"Polyacrylamide/acrylate"
"658","MP_-1","Protein",44.8776614997854,"A117","Polycarbonate",77.5338099178974,"Polyamide (PA)"
"751","MP_-1","Protein",14.3595326218982,"A440","Polyamide (naturally occurring)",81.3458716109572,"Polyacrylamide/acrylate"
"752","MP_-1","Protein",15.058470154975,"A324","Cellulosic",61.2522814968213,"Polyacrylamide/acrylate"
