"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","diameter_um","aspect_ratio","coord_match_cost","coord_source","x_norm","y_norm","x_aligned","y_aligned"
"A1",1694.98333333333,10015.1458333333,134687.5,739,323,323,739,"Polyethylene terephthalate",0.839804702046538,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",414.112848365656,0.436986952993901,0.27645411947195,"image",-4168.25347084162,3566.24922962227,-6527.29873024947,-447.149177911838
"A2",7457.88333333333,520.054166666667,127225,648,282,282,648,"Polyethylene terephthalate",0.844333495567771,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",402.477205663788,2.29917670131412,0.1430474208626,"image",1594.64652915838,-5928.8424370444,4104.62212096764,-3690.07187267291
"A3",5246.69166666667,5849.1875,122862.5,427,367,367,427,"Polyethylene terephthalate",0.812781291857113,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",395.516616041632,0.859259087827103,0.24320589479997,"image",-616.545137508284,-599.709103711068,-1098.96787667749,-1187.67144571905
"A4",5673.14583333333,4231.5,110687.5,633,331,331,633,"Polyethylene terephthalate",0.877067095480206,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",375.408713414957,1.91130130013285,0.376862945972878,"image",-190.090970841617,-2217.39660371107,297.95559617454,-2110.4996973482
"A5",4489.49583333333,2917.95833333333,83125,656,200,200,656,"Polyethylene terephthalate",0.750639130991263,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",325.327584376287,0.305047015828511,0.260407310424107,"image",-1373.74097084162,-3530.93827037773,290.541100070698,-3879.98848030297
"A6",3263.54166666667,10558.3291666667,46587.5,308,219,219,308,"Polyethylene terephthalate",0.855330065989846,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",243.550913137991,1.40574005859434,0.258138730689575,"image",-2599.69513750828,4109.4325629556,-5718.96860813553,1004.12316706667
"A7",6003.075,1766.5375,43325,362,175,175,362,"Polyethylene terephthalate",0.784742605201264,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",234.868267919808,2.06825403298173,0.309747551695087,"image",139.83819582505,-4682.35910371107,2187.81617928874,-3729.96585320302
"A8",11617.1791666667,9077.575,41987.5,272,264,264,272,"Polyethylene terephthalate",0.810669600094303,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",231.21450080946,0.974011960996269,0.342634863678067,"image",5753.94236249172,2628.67839628893,1502.26483640936,5469.37707910502
"A9",1648.2375,8173.9125,39200,1113,318,318,1113,"Cellulosic",0.932922337685594,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",223.407677024802,0.286009461614576,0.501176712870578,"image",-4214.99930417495,1725.01589628893,-5334.43642895955,-1852.33008480971
"A10",3099.14583333333,654.333333333334,30512.5,235,171,171,235,"Polyethylene terephthalate",0.893747145334681,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",197.10332723912,1.37198063330004,0.257492627903282,"image",-2764.09097084162,-5794.56327037773,762.399464430312,-6496.30072672357
"A11",2397.47083333333,1211.7625,27050,269,177,177,269,"Cellulosic",0.777987093272813,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",185.583214987472,1.52002962514685,0.232673929234795,"image",-3465.76597084162,-5237.13410371107,-132.91905926375,-6548.20356927392
"A12",2528.44583333333,6496.9125,24787.5,297,147,147,297,"Polyethylene terephthalate",0.85274100878399,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",177.652540694252,2.02253527198147,0.211622626272045,"image",-3334.79097084162,48.0158962889336,-3559.35139276166,-2516.85379907654
"A13",6650.04166666667,9835.09583333333,23425,263,130,130,263,"Polyethylene terephthalate",0.781167895347737,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",172.701002705315,0.495667293872211,0.263165631197275,"image",786.804862491716,3386.19922962227,-2709.55457067376,2722.55397202298
"A14",8521.06666666667,2659.8,21112.5,437,191,191,437,"Polyethylene terephthalate",0.906822932618016,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",163.955084972138,0.437253457896217,0.284067341020022,"image",2657.82986249172,-3789.09660371107,3471.22080689466,-1384.36060882082
"A15",4281.33333333333,12009.6166666667,18800,220,120,120,220,"Polyethylene terephthalate",0.87095202394214,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",154.715556557901,1.83333333333333,0.294245968020034,"image",-1581.90347084162,5560.7200629556,-5927.17480266639,2765.8086440575
"A16",986.808333333333,7034.625,18375,831,79,79,831,"Polyvinyl chloride",0.692078609187708,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",152.956780282891,0.0946254456384251,0.457679128394948,"image",-4876.42847084162,585.728396288933,-5068.34022220933,-3143.56244976054
"A17",3228.225,6959.0625,16550,447,135,135,447,"Polyethylene terephthalate",0.884980070766979,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",145.162372760185,0.302042575961249,0.175018520235693,"image",-2635.01180417495,510.165896288933,-3345.30951479355,-1705.35963254608
"A18",2170.56666666667,8131.60833333333,14337.5,646,66,66,646,"Cellulosic",0.867312864284858,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",135.111331769916,0.102597408274143,0.295221737658729,"image",-3692.67013750828,1682.71172962227,-4916.44240525849,-1535.60692272729
"A19",3185.1625,11195.8708333333,13425,371,65,65,371,"Rubber",0.757959687261123,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",130.74112164147,5.75074564753788,0.739491192367669,"image",-2678.07430417495,4746.97422962227,-6202.57548933962,1427.62148389835
"A20",2752.47916666667,3887.43333333333,12862.5,152,110,110,152,"Polyethylene terephthalate",0.910899743593897,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",127.97282385005,0.723684219607356,0.249237847390669,"image",-3110.75763750828,-2561.46327037773,-1652.15037165685,-4314.77675831567
"A21",1552.3625,8786.15833333333,10525,497,95,95,497,"Polyethylene terephthalate",0.911626678055639,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",115.762024033521,5.20911818823921,0.480102523528178,"image",-4310.87430417495,2337.26172962227,-5814.23205885126,-1459.37498099743
"A22",8754.14583333333,1329.19583333333,9250,143,106,106,143,"Polyethylene terephthalate",0.855234937742436,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",108.524033231355,1.35475579425798,0.338161181279403,"image",2890.90902915838,-5119.70077037774,4532.41022704443,-2221.89814782725
"A23",3664.32083333333,825.445833333331,9212.5,263,86,86,263,"Cellulosic",0.917786851676572,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",108.303828675965,3.04473685574197,0.373930496639971,"image",-2198.91597084162,-5623.45077037774,1070.05936685307,-5991.74664834218
"A25",1900.81666666667,4893.47083333333,8875,417,53,53,417,"Cellulosic",0.928891530055395,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",106.30146264057,0.127386197322976,0.28613784827953,"image",-3962.42013750828,-1555.42577037773,-2958.53115923917,-4131.92066273585
"A26",7311.41666666667,2324.50833333333,8087.5,175,72,72,175,"Polyethylene terephthalate",0.921203429248864,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",101.475735119513,0.412422379390774,0.284317873673093,"image",1448.17986249172,-4124.38827037773,2792.10061202829,-2441.17254852057
"A27",5193.87916666667,11626.4958333333,7062.5,375,54,54,375,"Cellulosic",0.910976576782371,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",94.8274975136014,0.144067807594663,0.479764267103633,"image",-669.357637508284,5177.59922962227,-4990.72496027173,3088.39816068874
"A28",11666.525,4511.325,6925,107,89,89,107,"Polyethylene terephthalate",0.866495534103227,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",93.8998607415954,0.830845715471495,0.305873048749874,"image",5803.28819582505,-1937.57160371107,4583.89351892509,2094.74165482859
"A29",3800.875,9062.19166666667,6787.5,291,80,80,291,"Cellulosic",0.844400536822395,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",92.9629679490168,3.62500035579862,0.363926295822762,"image",-2062.36180417495,2613.2950629556,-4320.35246774198,245.935885604256
"A30",3960.2875,11956.0458333333,6725,140,71,71,140,"Polyethylene terephthalate",0.892760518130499,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",92.5339718068125,1.98611115707511,0.369991608299052,"image",-1902.94930417495,5507.14922962227,-6131.03215840439,2511.75628836589
"A31",5112.84583333333,4615.4875,6600,113,74,74,113,"Cellulosic",0.927399984619523,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",91.6699568847508,1.52380948711022,0.354793234349573,"image",-750.390970841617,-1833.40910371107,-376.210583601135,-2197.5627006634
"A33",2286.2125,4620.525,6375,416,57,57,416,"Cellulosic",0.833985981033295,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",90.0938516086789,7.29736184865589,0.69551077393227,"image",-3577.02430417495,-1828.37160371107,-2488.92956601665,-4078.62062570448
"A34",3231.8,4670.30416666667,4662.5,97,65,65,97,"Polyethylene terephthalate",0.893210651413161,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",77.0485520780741,1.48148141136173,0.232542242561449,"image",-2631.43680417495,-1778.5924370444,-1816.48303795629,-3410.94941480858
"A35",10522.85,3800.17083333333,4650,97,62,62,97,"Polyamide (naturally occurring)",0.933982588596863,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.9452005197108,0.638095174277552,0.148644998427523,"image",4659.61319582505,-2648.72577037773,4204.63432541611,801.43689370551
"A36",5228.7625,4502.60416666667,4600,94,66,66,94,"Polyethylene terephthalate",0.906023235391562,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.5303985732581,1.43749992724326,0.132668005556293,"image",-634.474304174951,-1946.2924370444,-214.437067067945,-2204.50730940801
"A37",9043.50416666667,5825.1375,4575,164,62,62,164,"Carbonate",0.796739607038821,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.3221522047392,2.63671880999908,0.17677134131306,"image",3180.26736249172,-623.759103711067,1750.41975500916,1326.12015855253
