"match_id","ftir_material_raw","raman_material_raw","ftir_material_norm","raman_material_norm","agree","match_distance"
150,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,27.0985890108398
151,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,27.6600160770736
152,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,27.7566521078137
153,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,28.8823661843669
154,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,29.1297444527514
155,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,29.1417008819038
156,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,29.5206612647991
157,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,29.9579961145926
158,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,30.2399134960967
159,"Protein","Polyamide (PA)","PROTEIN","PA",FALSE,30.8952525761269
160,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,32.9963252720792
161,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,33.1723880580348
162,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,34.8232105345439
163,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,34.9605975037833
164,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,35.2722381617609
165,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,36.6965933940461
166,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,37.0641202286845
167,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,37.3212945092054
168,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,38.0641144419699
169,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,39.6652055007987
170,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,40.1970593792538
171,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,48.6507831025637
172,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,54.7996809286926
173,"Protein","Polyethylene terephtalate (PET)","PROTEIN","PET",FALSE,56.4018227681007
174,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,61.0473155994409
175,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,63.3000806048235
176,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,65.2126307274107
177,"Protein","Polyamide (PA)","PROTEIN","PA",FALSE,65.4838446546033
178,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,66.861554477124
179,"Cellulose","Polyethylene terephtalate (PET)","CELLULOSE","PET",FALSE,79.7667496151676
180,"Protein","Polyethylene terephtalate (PET)","PROTEIN","PET",FALSE,81.2550862324165
181,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,82.7830708333058
182,"Protein","Polyamide (PA)","PROTEIN","PA",FALSE,86.0035168023925
183,"Cellulose","Polyethylene terephtalate (PET)","CELLULOSE","PET",FALSE,91.7904457844111
184,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,98.4091993056385
