"match_id","ftir_material","raman_material","agree","match_distance"
1,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,4.66868098595829
2,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,25.9938166447684
3,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,28.600637455408
4,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,35.1943038535853
5,"PET","Polyamide (PA)",FALSE,42.0179754555639
6,"Protein","Polyacrylamide/acrylate",FALSE,49.8390545272746
7,"Protein","Polyamide (PA)",FALSE,50.5582937770772
8,"Protein","Polyethylene terephtalate (PET)",FALSE,54.7551428821783
9,"Protein","Polyamide (PA)",FALSE,56.0059603195986
10,"Protein","Polypropylene (PP)",FALSE,56.5652780732449
11,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,56.9710823764256
12,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,57.7560292000415
13,"Cellulose","Cellulose Acetate Butyrate (CAB)",FALSE,60.6701944861945
14,"Protein","Polyethylene terephtalate (PET)",FALSE,62.9815317602651
15,"Cellulose","Polyacrylamide/acrylate",FALSE,63.6183037776002
16,"Cellulose","Polyacrylamide/acrylate",FALSE,65.3609346892793
17,"Protein","Polyacrylamide/acrylate",FALSE,66.5608317644464
18,"Cellulose","Cellulose Acetate Butyrate (CAB)",FALSE,67.9551074843938
19,"Protein","Polyamide (PA)",FALSE,70.4246737046201
20,"Protein","Polyacrylamide/acrylate",FALSE,75.2956085652859
21,"PET","Polyacrylamide/acrylate",FALSE,80.3257129178701
22,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,81.3101563166815
23,"Cellulose","Cellulose Acetate Butyrate (CAB)",FALSE,86.7164874933536
24,"Protein","Polyamide (PA)",FALSE,91.1502004903407
25,"Protein","Polyamide (PA)",FALSE,92.9555611154626
26,"Protein","Polyamide (PA)",FALSE,95.907224974821
27,"PET","Cellulose Acetate Butyrate (CAB)",FALSE,96.5760846329162
