"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","x_norm","y_norm"
"568",4731.09939424697,5871.24130056721,488.234,37.995,19.079,19.079,37.888,"Cellulose Acetate Butyrate (CAB)",93.35,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1388.60642397426,4543.09692268292
"579",606.423806971718,101.288019049657,130536.836,733.367,340.6,340.6,739.551,"Polyethylene terephtalate (PET)",93.29,"Comparstic Raman F2Ba Au IAEA 240930.csv",-5513.28201124951,-1226.85635883463
"620",4654.17433806118,1042.18478836687,644.277,43.424,21.146,21.146,43.388,"Cellulose Acetate Butyrate (CAB)",93.26,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1465.53148016005,-285.959589517415
"670",2775.25113734415,-1857.43057577055,447.369,32.605,18.998,18.998,32.605,"Cellulose Acetate Butyrate (CAB)",93.26,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3344.45468087708,-3185.57495365483
"123",1522.06160261598,1496.2722468964,3863.686,108.347,47.843,47.843,109.227,"Cellulose Acetate Butyrate (CAB)",93.26,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4597.64421560525,168.127869012115
"432",7356.31045348284,4834.4752448095,5169.542,120.584,59.27,58.943,124.514,"Cellulose Acetate Butyrate (CAB)",93.21,"Comparstic Raman F2Ba Au IAEA 240930.csv",1236.60463526161,3506.33086692521
"363",5367.16627673841,6241.51489190925,348.668,27.555,17.796,17.033,29.524,"Cellulose Acetate Butyrate (CAB)",93.2,"Comparstic Raman F2Ba Au IAEA 240930.csv",-752.539541482822,4913.37051402496
"272",4224.19771803764,-3664.02126096961,1391.87,58.361,33.689,33.689,60.077,"Cellulose Acetate Butyrate (CAB)",93.2,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1895.50810018359,-4992.16563885389
"595",8254.15215403934,5832.20470489084,693.71,35.592,26.981,26.981,35.592,"Cellulose Acetate Butyrate (CAB)",93.09,"Comparstic Raman F2Ba Au IAEA 240930.csv",2134.44633581811,4504.06032700655
"360",2679.95591848713,2856.23835215111,91420.473,660.172,211.368,211.368,656.27,"Polyethylene terephtalate (PET)",93.07,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3439.7498997341,1528.09397426683
"731",7751.26895091434,-3001.54726963827,1531.271,45.852,44.62,41.077,56.424,"Cellulose Acetate Butyrate (CAB)",93.07,"Comparstic Raman F2Ba Au IAEA 240930.csv",1631.56313269311,-4329.69164752256
"179",400.333544503825,2322.35549951841,657.789,30.038,28.24,27.826,31.835,"Polyacrylamide/acrylate",93.05,"Comparstic Raman F2Ba Au IAEA 240930.csv",-5719.37227371741,994.211121634125
"528",10013.0952298099,-622.037136130137,2866.128,66.863,66.21,53.371,83.748,"Cellulose Acetate Butyrate (CAB)",93.04,"Comparstic Raman F2Ba Au IAEA 240930.csv",3893.38941158867,-1950.18151401442
"319",9317.89938622042,1295.92266026327,987.013,37.866,34.207,34.207,39.037,"Cellulose Acetate Butyrate (CAB)",92.99,"Comparstic Raman F2Ba Au IAEA 240930.csv",3198.19356799919,-32.2217176210149
"761",6085.32482366692,-3075.60198790668,738.365,33.385,32.288,32.288,37.63,"Cellulose Acetate Butyrate (CAB)",92.98,"Comparstic Raman F2Ba Au IAEA 240930.csv",-34.3809945543117,-4403.74636579096
"540",4659.91501389594,5924.055518247,929.176,65.932,19.271,19.271,64.953,"Cellulose Acetate Butyrate (CAB)",92.9,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1459.79080432529,4595.91114036271
"634",8505.01968801837,5730.59474261558,1697.86,56.72,39.247,39.247,56.83,"Cellulose Acetate Butyrate (CAB)",92.9,"Comparstic Raman F2Ba Au IAEA 240930.csv",2385.31386979714,4402.45036473129
"776",3669.07436481632,5513.59719606164,905.613,34.444,34.444,33.1,36.461,"Polyethylene terephtalate (PET)",92.86,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2450.63145340491,4185.45281817735
"408",5533.07180836298,-3889.62982127568,464.341,24.743,22.883,22.883,26.187,"Cellulose Acetate Butyrate (CAB)",92.83,"Comparstic Raman F2Ba Au IAEA 240930.csv",-586.634009858251,-5217.77419915997
"728",6112.30600009029,-4643.95462596318,1298.771,54.022,30.77,30.77,54.684,"Polyacrylamide/acrylate",92.77,"Comparstic Raman F2Ba Au IAEA 240930.csv",-7.39981813094164,-5972.09900384746
"475",5066.92893058044,6035.42462944135,640.982,31.67,30.446,29.868,35.686,"Cellulose Acetate Butyrate (CAB)",92.76,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1052.77688764079,4707.28025155706
"357",4145.55045910142,492.228043396833,535.36,29.277,23.537,23.307,33.286,"Polyacrylamide/acrylate",92.74,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1974.15535911981,-835.916334487452
