"match_id","ftir_material","raman_material","agree","match_distance"
1,"Cellulose","Polyamide (PA)",FALSE,1.85513280462827
2,"Cellulose","Polyamide (PA)",FALSE,2.09408232413577
3,"Protein","Polyacrylamide/acrylate",FALSE,2.95450200104851
4,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,3.00831618176396
5,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,3.3434424801608
6,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,3.54483657730105
7,"Protein","Polyamide (PA)",FALSE,3.8085139464763
8,"PET","Polyethylene terephtalate (PET)",FALSE,4.27571629797797
9,"Protein","Polyacrylamide/acrylate",FALSE,4.28218156780785
10,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,4.53315865289614
11,"PET","Polyethylene terephtalate (PET)",FALSE,4.58542779260941
12,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,4.62797720497533
13,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,4.64832719549706
14,"Protein","Polyacrylamide/acrylate",FALSE,4.78759281926315
15,"PET","Polyethylene terephtalate (PET)",FALSE,4.81226877440007
16,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,5.33295461127334
17,"PET","Polyethylene terephtalate (PET)",FALSE,5.5870150589436
18,"Protein","Polyacrylamide/acrylate",FALSE,5.6919210814952
19,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,6.15504825687931
20,"Protein","Polyacrylamide/acrylate",FALSE,6.18997044996688
21,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,6.34785029964174
22,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,6.39307825682334
23,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,6.44959438747508
24,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,6.53744005810041
25,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,6.94210603687561
26,"Cellulose","Polyamide (PA)",FALSE,7.07728307204692
27,"Protein","Polyacrylamide/acrylate",FALSE,7.70370877097957
28,"PET","Polyethylene terephtalate (PET)",FALSE,7.7706472546006
29,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,7.77344047411195
30,"Cellulose","Polyamide (PA)",FALSE,7.85738584881697
31,"PET","Polyethylene terephtalate (PET)",FALSE,7.90037554072165
32,"Protein","Polyacrylamide/acrylate",FALSE,8.08816571383607
33,"Protein","Polyacrylamide/acrylate",FALSE,8.38207813503169
34,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,8.44126230993568
35,"PET","Polyethylene terephtalate (PET)",FALSE,8.57875378395154
36,"Cellulose","Polyethylene terephtalate (PET)",FALSE,8.58018994614423
37,"Polypro","Polypropylene (PP)",FALSE,8.68197142598362
38,"Protein","Polyamide (PA)",FALSE,8.76083698051062
39,"Protein","Polyacrylamide/acrylate",FALSE,8.99115824826508
40,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,9.03663356616751
41,"Cellulose","Polyamide (PA)",FALSE,9.16191993326793
42,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,9.23213604564042
43,"Protein","Polyamide (PA)",FALSE,9.30434836976314
44,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,9.72332838679405
45,"Cellulose","Polyamide (PA)",FALSE,10.0898750835507
46,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,10.1265535286136
47,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,10.2254044431026
48,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,10.472102968508
49,"Protein","Polyacrylamide/acrylate",FALSE,10.5263026644674
