"ldir_row","ldir_x_aligned","ldir_y_aligned","raman_row","raman_x_norm","raman_y_norm","dx","dy","dist"
1,3979.37208004465,3023.58089302771,753,4002.7253667582,2999.67273453918,23.3532867135445,-23.9081584885298,33.4211915203165
2,-1382.91028690916,-611.16220811865,136,-1376.28789041217,-629.008460612794,6.6223964969854,-17.8462524941436,19.0353582432276
3,117.627418245716,-223.936999617307,411,107.676812873357,-231.179625263904,-9.95060537235895,-7.24262564659637,12.3073219480582
4,-4812.338056683,-2230.32779213806,33,-4750.65714608426,-2224.91634267615,61.680910598745,5.41144946191844,61.9178368288918
5,-2572.33284020135,485.767124230567,41,-2677.12503456884,530.033990425306,-104.792194367497,44.2668661947399,113.75833790566
6,4477.97672106587,1564.79536229326,476,4484.94213687806,1604.68850669244,6.96541581218935,39.8931443991737,40.4966663750243
7,-3658.45218450265,-899.62347638978,58,-3636.39196655728,-833.376520330254,22.0602179453695,66.2469560595259,69.8234373469966
8,3049.58043193017,-6129.96515516168,422,3057.23605677318,-6141.77946473308,7.65562484300972,-11.8143095714076,14.0778727933577
9,2262.01747399363,3092.59300883008,466,2100.26539511865,3326.89125712052,-161.75207887498,234.298248290435,284.709332780547
10,5809.7402999972,620.533755479219,451,5808.16791679033,645.995642287466,-1.57238320686974,25.4618868082472,25.5103913883194
11,3786.37791642664,-1551.31958784148,131,3796.06103670683,-1541.77591833967,9.68312028018954,9.54366950180474,13.5957510245038
12,-3152.0931434386,-2104.03204749344,114,-3150.15672335309,-2100.91774464532,1.93642008550705,3.1143028481174,3.66723396817647
13,736.320556422658,2276.96860370901,21,733.984546445708,2270.03283594115,-2.33600997695078,-6.93576776786222,7.31859393204255
14,-2874.96953660188,-3182.33218833554,117,-2884.93749978717,-3123.33211081613,-9.96796318529778,59.000077519413,59.8361883592212
15,-1675.68817075679,2092.1756001677,165,-1677.09930415361,2088.62747956273,-1.41113339682215,-3.54812060497579,3.81843649823859
16,1189.97439612143,3750.11492703855,335,1387.27345644142,3603.59183235596,197.29906031999,-146.52309468259,245.755847292621
17,5089.29224889396,1631.62014505776,254,5007.34363784123,1756.24234873011,-81.9486110527359,124.622203672343,149.15183036632
18,2241.71226585781,2611.16466281821,403,2296.59650866745,2494.49326108028,54.8842428096345,-116.671401737933,128.936015497149
19,1155.83716979206,1626.79827198052,193,1210.46064073081,1654.05831887137,54.6234709387477,27.2600468908458,61.0477987636518
20,-4081.76151033644,-3429.60102492911,24,-4066.9426541643,-3432.7545383097,14.8188561721395,-3.15351338059463,15.1506813342551
21,2791.93175028093,3141.97605165087,11,2784.55395462207,3172.46707716547,-7.37779565886058,30.4910255145992,31.3709181522607
22,1915.62350518299,-2746.19207557775,265,1911.97122773851,-2739.85496505414,-3.65227744448248,6.33711052361059,7.31423955855505
23,-4507.21854209958,1280.7249987771,146,-4422.86455591944,1265.4145648581,84.3539861801346,-15.3104339189999,85.7321664911508
24,3991.50473223892,879.277410831677,255,4001.57723159125,882.511486679586,10.0724993523236,3.23407584790914,10.5789644952891
25,-996.376257413936,2518.48996987969,598,-831.497753693423,2445.12344890134,164.878503720513,-73.3665209783549,180.464864695548
26,5764.91088549288,919.539428397321,79,5767.40911836353,956.566204947997,2.4982328706501,37.0267765506754,37.1109599607669
27,5455.05420121898,-228.56480637905,621,5431.00551444653,-180.661677918014,-24.048686772453,47.9031284610367,53.6008307009708
28,-1162.82611060242,-6138.90688348329,544,-1163.88288452604,-6133.74251856441,-1.05677392362031,5.16436491887271,5.2713789600945
