"match_id","ldir_idx","raman_idx","match_distance","match_score","ldir_particle_id","ldir_x_um","ldir_y_um","ldir_area_um2","ldir_major_um","ldir_minor_um","ldir_feret_min_um","ldir_feret_max_um","ldir_material","ldir_quality","ldir_source_file","ldir_diameter_um","ldir_aspect_ratio","ldir_coord_match_cost","ldir_coord_source","ldir_x_norm","ldir_y_norm","ldir_x_aligned","ldir_y_aligned","raman_particle_id","raman_x_um","raman_y_um","raman_area_um2","raman_major_um","raman_minor_um","raman_feret_min_um","raman_feret_max_um","raman_material","raman_quality","raman_source_file","raman_x_norm","raman_y_norm","n_ref_candidates","next_best_distance","ambiguity_score","ambiguity_flag"
1,6,118,55.2342345421254,57.127703960215,"A6",2539.67989084803,6505.49853064652,46587.5,308,219,219,308,"Polyethylene terephthalate",0.855330065989846,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",243.550913137991,1.40574005859434,0.0100162620750817,"image",-2985.57882776199,381.365676453005,3031.22854195819,3362.49362375797,"637",8384.4654954884,5743.79829703553,691.898,35.764,27.184,25.833,38.463,"Cellulose Acetate Butyrate (CAB)",90.96,"Comparstic Raman F2Ba Au IAEA 240930.csv",3027.38454243243,3417.59393530973,0,124.002449206624,0.445428577383089,FALSE
2,11,613,60.6763834814414,62.5369241309186,"A11",4795.22249190939,1075.86569579288,27050,269,177,177,269,"Cellulosic",0.777987093272813,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",185.583214987472,1.52002962514685,0.135316993693495,"image",-730.036226700634,-5048.26715840063,-2695.67979382343,2428.75814446319,"505",2720.14064933045,4739.75409353596,445.392,34.375,18.787,18.787,35.018,"Polyether sulphone (PES)",11.75,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2636.94030372552,2413.54973181016,0,348.164324026392,0.174275131868025,FALSE
3,12,11,39.0309116551167,40.7073186332614,"A12",2766.96544715447,6341.96544715447,24787.5,297,147,147,297,"Polyethylene terephthalate",0.85274100878399,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",177.652540694252,2.02253527198147,0.0403792783745221,"image",-2758.29327145555,217.83259296096,2822.56714734972,3181.32197655959,"790",8141.63490767804,5498.67143889127,816.139,33.286,31.662,31.131,39.611,"Cellulose Acetate Butyrate (CAB)",95.03,"Comparstic Raman F2Ba Au IAEA 240930.csv",2784.55395462207,3172.46707716547,1,54.1088055598124,0.721341217040387,TRUE
4,14,13,86.5020407218391,88.5021466502987,"A14",3808.28389830508,3941.71139359699,21112.5,437,191,191,437,"Polyethylene terephthalate",0.906822932618016,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",163.955084972138,0.437253457896217,0.164269233589988,"image",-1716.97482030493,-2182.42146059652,280.859198800263,2726.07809451495,"316",5583.01568812539,4985.4550192637,400.078,31.574,18.944,18.592,32.117,"Polypropylene (PP)",94.64,"Comparstic Raman F2Ba Au IAEA 240930.csv",225.934735069417,2659.2506575379,0,120.223361903698,0.719511077981079,TRUE
5,15,95,19.7873889973741,21.7121885321726,"A15",4013.61788617886,2971.50406504065,18800,220,120,120,220,"Polyethylene terephthalate",0.87095202394214,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",154.715556557901,1.83333333333333,0.0311436164067165,"image",-1511.64083243116,-3152.62878915286,-697.586498066117,2749.11464674476,"237",4659.91501389594,5095.10192770762,324.281,22.819,19.472,18.916,23.521,"Polyethylene terephtalate (PET)",91.41,"Comparstic Raman F2Ba Au IAEA 240930.csv",-697.165939160032,2768.89756598182,1,79.659051973959,0.248401010394182,FALSE
6,19,636,67.1859352149767,67.9362466324814,"A19",7089.38936781609,3195.73994252874,13425,371,65,65,371,"Rubber",0.757959687261123,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",130.74112164147,5.75074564753788,0.17132109160029,"image",1564.13064920607,-2928.39291166478,-1180.45752876812,-255.904045735439,"326",4213.29043395159,2126.59845355308,4155.012,119.728,54.118,54.118,120.554,"Polyether sulphone (PES)",9.94,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1143.79051910438,-199.605908172724,0,227.808166107546,0.294923296047513,FALSE
7,24,296,29.7621045442766,30.4905869012054,"A24",5015.26315789474,6459.23245614035,9050,145,100,100,145,"Polyamide (naturally occurring)",0.781205877791979,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",107.344389140063,0.689655172413793,0.0370067890036097,"image",-509.995560715281,335.099601946839,2424.8048603292,995.330932292994,"147",7763.32437016734,3298.27039142765,1888.013,66.129,35.144,35.144,66.166,"Polyamide (PA)",73.52,"Comparstic Raman F2Ba Au IAEA 240930.csv",2406.24341711137,972.066029701846,1,102.404181285983,0.290633684782464,FALSE
8,33,245,76.681959079069,77.9732195532854,"A33",5305.72530864198,6463.88888888889,6375,416,57,57,416,"Cellulosic",0.833985981033295,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",90.0938516086789,7.29736184865589,0.384742572975946,"image",-219.533409968044,339.756034695377,2363.33866585684,715.300465783079,"254",7699.02880081803,3115.1428322988,1056.878,42.141,34.876,34.876,44.777,"Polyamide (PA)",81.82,"Comparstic Raman F2Ba Au IAEA 240930.csv",2341.94784776206,788.938470572996,0,116.917050096645,0.655866351534554,FALSE
9,39,104,66.0365793198251,67.0527693873845,"A39",10385.6944444444,8078.19444444445,4537.5,192,45,45,192,"Polyamide (naturally occurring)",0.878685457165586,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.0087128836938,4.28308803841678,0.0920944540206993,"image",4860.43572583443,1954.06159025093,2760.57809622704,-4530.20591411281,"132",8146.22744834585,-2144.46436750856,839.208,43.346,26.766,26.766,43.15,"Cellulose Acetate Butyrate (CAB)",91.13,"Comparstic Raman F2Ba Au IAEA 240930.csv",2789.14649528988,-4470.66872923436,0,104.077383221088,0.634495000508858,FALSE
10,40,661,86.2114003902399,87.0402611615936,"A40",3616.32142857143,3932.03571428571,4150,104,59,59,104,"Polyamide (naturally occurring)",0.939859813213134,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",72.6907429501923,0.566037701226032,0.0306709476602935,"image",-1908.93729003859,-2192.0971399078,315.144046172303,2912.6443025824,"202",5697.8292048206,5156.52715913955,699.148,39.63,23.53,23.53,39.542,"Polyether sulphone (PES)",8.83,"Comparstic Raman F2Ba Au IAEA 240930.csv",340.748251764628,2830.32279741375,0,268.638494144809,0.320919757478122,FALSE
