"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","diameter_um","aspect_ratio","coord_match_cost","coord_source","x_norm","y_norm","x_aligned","y_aligned"
"A1",5619.92313915858,11159.6958664313,134687.5,739,323,323,739,"Polyethylene terephthalate",0.839804702046538,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",414.112848365656,0.436986952993901,0.0925109541136643,"image",94.6644205485572,5035.56301223779,6802.08400589109,-652.475225762133
"A2",2737.14520800421,12087.492759347,127225,648,282,282,648,"Polyethylene terephthalate",0.844333495567771,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",402.477205663788,2.29917670131412,0.188970846419742,"image",-2788.11351060581,5963.35990515351,8347.60916203231,1905.65797263414
"A3",3354.99245312997,3902.80386081983,122862.5,427,367,367,427,"Polyethylene terephthalate",0.812781291857113,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",395.516616041632,0.859259087827103,0.336851691502897,"image",-2170.26626548005,-2221.32899337368,346.393274152596,3170.27282862033
"A4",1244.86111111111,4747.44047619048,110687.5,633,331,331,633,"Polyethylene terephthalate",0.877067095480206,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",375.408713414957,1.91130130013285,0.162642130685314,"image",-4280.39760749891,-1376.69237800303,1636.64722405718,5005.19859614802
"A5",968.079232571763,6011.42428236673,83125,656,200,200,656,"Polyethylene terephthalate",0.750639130991263,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",325.327584376287,0.305047015828511,0.246639790038243,"image",-4557.17948603826,-112.708571826786,2913.46909688159,4984.09308880954
"A7",3871.49869109948,1356.60558464223,43325,362,175,175,362,"Polyethylene terephthalate",0.784742605201264,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",234.868267919808,2.06825403298173,0.0851418461009505,"image",-1653.76002751054,-4767.52726955128,-2216.34754282105,3252.21419633306
"A8",6908.74289772727,10753.8068181818,41987.5,272,264,264,272,"Polyethylene terephthalate",0.810669600094303,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",231.21450080946,0.974011960996269,0.137521275572943,"image",1383.48417911725,4629.67396398831,6119.67143017544,-1798.17608194459
"A9",2754.06220657277,12646.6960093897,39200,1113,318,318,1113,"Cellulosic",0.932922337685594,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",223.407677024802,0.286009461614576,0.451960839480978,"image",-2771.19651203725,6522.56315519616,8880.85368500806,1762.46414214517
"A10",5516.66834002677,11527.0364792503,30512.5,235,171,171,235,"Polyethylene terephthalate",0.893747145334681,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",197.10332723912,1.37198063330004,0.221697962405628,"image",-8.59037858324518,5402.90362505682,7178.3351650574,-636.695297829606
"A13",3353.40909090909,4362.9335016835,23425,263,130,130,263,"Polyethylene terephthalate",0.781167895347737,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",172.701002705315,0.495667293872211,0.0137726756580418,"image",-2171.84962770093,-1761.19935251001,788.682688601471,3067.33852491393
"A16",5871.1400462963,6470.58449074074,18375,831,79,79,831,"Polyvinyl chloride",0.692078609187708,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",152.956780282891,0.0946254456384251,0.553079729432728,"image",345.881327686277,346.451636547229,2241.41339490652,170.729792147958
"A17",2484.96212121212,11576.1742424242,16550,447,135,135,447,"Polyethylene terephthalate",0.884980070766979,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",145.162372760185,0.302042575961249,0.207821992675254,"image",-3040.2965973979,5452.04138823073,7913.76364107426,2263.94191104975
"A18",4257.28333333333,2964.65,14337.5,646,66,66,646,"Cellulosic",0.867312864284858,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",135.111331769916,0.102597408274143,0.499274320792774,"image",-1267.97538527669,-3159.48285419351,-759.48448928618,2516.6429407507
"A20",2432.96171171171,10651.0698198198,12862.5,152,110,110,152,"Polyethylene terephthalate",0.910899743593897,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",127.97282385005,0.723684219607356,0.108694734443954,"image",-3092.29700689831,4526.93696562631,7037.05492488952,2523.89551347566
"A21",3485.03352490422,9928.50095785441,10525,497,95,95,497,"Polyethylene terephthalate",0.911626678055639,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",115.762024033521,5.20911818823921,0.354299136101385,"image",-2040.2251937058,3804.3681036609,6104.23295328507,1677.46860707366
