"raman_particle_id","ftir_particle_id","ftir_material","ftir_raman_distance","ldir_particle_id","ldir_material","ldir_raman_distance","raman_material"
"132","MP_-1","Protein",19.4226109282536,"A39","Polyamide (naturally occurring)",66.0365793198251,"Cellulose Acetate Butyrate (CAB)"
"185","MP_-1","Cellulose",34.6968877028427,"A385","Chitin",39.2244678860978,"Polyamide (PA)"
"198","MP_-1","Protein",15.9846194296934,"A229","Rubber",76.7577641655696,"Polyacrylamide/acrylate"
"2","MP_-1","Protein",16.3057226196044,"A263","Polyamide (naturally occurring)",78.2443349679046,"Polyvinyl Chloride (PVC)"
"21","MP_-1","Protein",56.8450616028922,"A241","Polyamide (naturally occurring)",83.9097373954682,"Polyethylene terephtalate (PET)"
"226","MP_-1","Protein",28.4892627428059,"A250","Cellulosic",97.3621417853463,"Polyvinyl Chloride (PVC)"
"239","MP_-1","Cellulose",80.3310186275134,"A101","Polyamide (naturally occurring)",58.2451754582782,"Polyethylene terephtalate (PET)"
"254","MP_-1","Protein",16.0310765381123,"A33","Cellulosic",76.681959079069,"Polyamide (PA)"
"305","MP_-1","Protein",18.7693850577843,"A293","Polyamide",46.8247022887712,"Polyacrylamide/acrylate"
"323","MP_-1","Protein",16.1258212641158,"A292","Cellulosic",63.3556894379701,"Polyacrylamide/acrylate"
"326","MP_-1","Protein",18.9194236835868,"A19","Rubber",67.1859352149767,"Polyether sulphone (PES)"
"355","MP_-1","Protein",4.31246492164835,"A348","Polyamide (naturally occurring)",76.8583258896387,"Polycarbonate (PC)"
"381","MP_-1","Protein",9.19381931257532,"A381","Polyamide (naturally occurring)",82.9896017388919,"Cellulose Acetate Butyrate (CAB)"
"398","MP_-1","Protein",15.5144085523302,"A171","Polycarbonate",38.5182697730719,"Cellulose Acetate Butyrate (CAB)"
"402","MP_14","PET",13.0183151657434,"A388","Polyethylene terephthalate",84.0247686194854,"Polyethylene terephtalate (PET)"
"431","MP_-1","Protein",19.454754481385,"A447","Polyamide (naturally occurring)",84.5115919726102,"Cellulose Acetate Butyrate (CAB)"
"445","MP_-1","Cellulose",15.5228637231674,"A495","Acrylonitrile butadiene styrene",83.1625854171425,"Polyamide (PA)"
"47","MP_-1","Cellulose",16.329736439962,"A457","Polyamide (naturally occurring)",97.3032575755907,"Polyacrylamide/acrylate"
"514","MP_10","PET",0.736868338488803,"A235","Polyamide (naturally occurring)",66.2452087140957,"Polyethylene terephtalate (PET)"
"556","MP_-1","Protein",12.0064345307181,"A378","Polyamide (naturally occurring)",42.9985823823629,"Cellulose Acetate Butyrate (CAB)"
"564","MP_-1","Protein",9.46655434642056,"A324","Cellulosic",29.3861876590837,"Polyvinyl Chloride (PVC)"
"579","MP_22","PET",59.5524752759423,"A70","Polyethylene terephthalate",87.2379026003229,"Polyethylene terephtalate (PET)"
"59","MP_-1","Protein",17.9888753249885,"A373","Polyamide (naturally occurring)",78.571208157757,"Cellulose Acetate Butyrate (CAB)"
"623","MP_-1","Protein",6.37413895199294,"A254","Polyamide (naturally occurring)",31.817301899452,"Polyvinyl Chloride (PVC)"
"755","MP_-1","Cellulose",21.8639188530041,"A473","Polyamide (naturally occurring)",29.5040105108063,"Polycarbonate (PC)"
"757","MP_-1","Cellulose",4.48716689950945,"A434","Polyamide (naturally occurring)",80.7186794642055,"Polyamide (PA)"
"769","MP_-1","Protein",23.896960701064,"A333","Polyamide (naturally occurring)",79.6465330480572,"Polyacrylamide/acrylate"
"790","MP_-1","Protein",21.8666558735887,"A12","Polyethylene terephthalate",39.0309116551167,"Cellulose Acetate Butyrate (CAB)"
