"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file"
"23",4326.38174789637,3451.54643621575,879.414,37.036,30.185,29.633,39.578,"Cellulose Acetate Butyrate (CAB)",93.97,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"106",5181.74244727565,1515.21647715111,712.66,32.274,28.897,28.703,33.87,"Cellulose Acetate Butyrate (CAB)",93.94,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"514",6091.06549950168,4596.23719766695,29412.328,294.63,158.382,158.382,297.294,"Polyethylene terephtalate (PET)",93.92,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"567",1706.91136449526,-2758.14261424443,3354.526,94.069,53.152,53.027,98.64,"Cellulose Acetate Butyrate (CAB)",93.81,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"657",6476.26484801409,2663.35164410317,2253.323,80.059,35.944,35.944,80.058,"Polyamide (PA)",93.73,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"28",1290.13829889167,-1106.5501765839,11240.414,162.591,102.783,101.116,164.04,"Cellulose Acetate Butyrate (CAB)",93.58,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"682",4663.93348698027,-4479.19722950557,761.434,32.722,29.852,29.194,36.533,"Polyacrylamide/acrylate",93.55,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"113",7390.7545084914,4300.01832459332,804.935,33.87,30.426,30.426,34.91,"Cellulose Acetate Butyrate (CAB)",93.44,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"50",562.220603044064,2460.13171955265,1161.512,48.731,32.719,32.719,50.063,"Cellulose Acetate Butyrate (CAB)",93.41,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"139",3000.85969765022,2361.96616277825,1178.154,51.55,33.07,33.07,50.633,"Cellulose Acetate Butyrate (CAB)",93.4,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"476",5597.36737771229,6026.23954810574,377.339,32.131,16.616,16.616,31.574,"Cellulose Acetate Butyrate (CAB)",93.4,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"61",6429.19130616905,-3234.61870852954,692.557,30.03,29.163,29.043,32.676,"Polyamide (PA)",93.39,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"718",4814.33919385099,4441.8130177119,2405.412,70.344,49.292,49.292,70.981,"Cellulose Acetate Butyrate (CAB)",93.38,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"568",4731.09939424697,5871.24130056721,488.234,37.995,19.079,19.079,37.888,"Cellulose Acetate Butyrate (CAB)",93.35,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"579",606.423806971718,101.288019049657,130536.836,733.367,340.6,340.6,739.551,"Polyethylene terephtalate (PET)",93.29,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"620",4654.17433806118,1042.18478836687,644.277,43.424,21.146,21.146,43.388,"Cellulose Acetate Butyrate (CAB)",93.26,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"670",2775.25113734415,-1857.43057577055,447.369,32.605,18.998,18.998,32.605,"Cellulose Acetate Butyrate (CAB)",93.26,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"123",1522.06160261598,1496.2722468964,3863.686,108.347,47.843,47.843,109.227,"Cellulose Acetate Butyrate (CAB)",93.26,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"432",7356.31045348284,4834.4752448095,5169.542,120.584,59.27,58.943,124.514,"Cellulose Acetate Butyrate (CAB)",93.21,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"363",5367.16627673841,6241.51489190925,348.668,27.555,17.796,17.033,29.524,"Cellulose Acetate Butyrate (CAB)",93.2,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"272",4224.19771803764,-3664.02126096961,1391.87,58.361,33.689,33.689,60.077,"Cellulose Acetate Butyrate (CAB)",93.2,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"595",8254.15215403934,5832.20470489084,693.71,35.592,26.981,26.981,35.592,"Cellulose Acetate Butyrate (CAB)",93.09,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"360",2679.95591848713,2856.23835215111,91420.473,660.172,211.368,211.368,656.27,"Polyethylene terephtalate (PET)",93.07,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"731",7751.26895091434,-3001.54726963827,1531.271,45.852,44.62,41.077,56.424,"Cellulose Acetate Butyrate (CAB)",93.07,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"179",400.333544503825,2322.35549951841,657.789,30.038,28.24,27.826,31.835,"Polyacrylamide/acrylate",93.05,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"528",10013.0952298099,-622.037136130137,2866.128,66.863,66.21,53.371,83.748,"Cellulose Acetate Butyrate (CAB)",93.04,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"62",10891.4186325282,2449.22443546661,739.189,37.378,26.682,26.625,38.667,"Cellulose Acetate Butyrate (CAB)",93,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"319",9317.89938622042,1295.92266026327,987.013,37.866,34.207,34.207,39.037,"Cellulose Acetate Butyrate (CAB)",92.99,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"761",6085.32482366692,-3075.60198790668,738.365,33.385,32.288,32.288,37.63,"Cellulose Acetate Butyrate (CAB)",92.98,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"540",4659.91501389594,5924.055518247,929.176,65.932,19.271,19.271,64.953,"Cellulose Acetate Butyrate (CAB)",92.9,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"704",8472.29783576023,3616.87790025685,1859.341,75.74,33.749,33.749,75.736,"Polyethylene terephtalate (PET)",92.9,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"634",8505.01968801837,5730.59474261558,1697.86,56.72,39.247,39.247,56.83,"Cellulose Acetate Butyrate (CAB)",92.9,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"776",3669.07436481632,5513.59719606164,905.613,34.444,34.444,33.1,36.461,"Polyethylene terephtalate (PET)",92.86,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"408",5533.07180836298,-3889.62982127568,464.341,24.743,22.883,22.883,26.187,"Cellulose Acetate Butyrate (CAB)",92.83,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"728",6112.30600009029,-4643.95462596318,1298.771,54.022,30.77,30.77,54.684,"Polyacrylamide/acrylate",92.77,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"475",5066.92893058044,6035.42462944135,640.982,31.67,30.446,29.868,35.686,"Cellulose Acetate Butyrate (CAB)",92.76,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"357",4145.55045910142,492.228043396833,535.36,29.277,23.537,23.307,33.286,"Polyacrylamide/acrylate",92.74,"Comparstic Raman F2Ba Au IAEA 240930.csv"
