"match_id","material_a_raw","material_b_raw","material_a_norm","material_b_norm","family_a","family_b","category_a","category_b","tier","agree_exact","match_distance","ftir_material_raw","raman_material_raw","ftir_material_norm","raman_material_norm"
223,"PET","Polyethylene terephtalate (PET)","PET","PET","PET","PET","Synthetic","Synthetic","Family",TRUE,16.3130301985525,"PET","Polyethylene terephtalate (PET)","PET","PET"
226,"PET","Polyethylene terephtalate (PET)","PET","PET","PET","PET","Synthetic","Synthetic","Family",TRUE,13.0183151657434,"PET","Polyethylene terephtalate (PET)","PET","PET"
228,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,6.51362240864784,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
229,"PET","Polyethylene terephtalate (PET)","PET","PET","PET","PET","Synthetic","Synthetic","Family",TRUE,31.2569383541997,"PET","Polyethylene terephtalate (PET)","PET","PET"
230,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,3.0184923020236,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
233,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,16.305579062081,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
234,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,13.6821816813158,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
237,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,17.7052439736625,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
239,"Cellulose","Polyamide (PA)","CELLULOSE","PA","Cellulose","PA","Semi-synthetic","Synthetic","Disagree",FALSE,11.0513226043057,"Cellulose","Polyamide (PA)","CELLULOSE","PA"
242,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,28.7035982233397,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
246,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,13.1547086408711,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
247,"PET","Polyethylene terephtalate (PET)","PET","PET","PET","PET","Synthetic","Synthetic","Family",TRUE,23.7841551422923,"PET","Polyethylene terephtalate (PET)","PET","PET"
249,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,5.05297719843172,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
253,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,15.64612571562,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
255,"Cellulose","Polyamide (PA)","CELLULOSE","PA","Cellulose","PA","Semi-synthetic","Synthetic","Disagree",FALSE,15.5228637231674,"Cellulose","Polyamide (PA)","CELLULOSE","PA"
256,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,12.4148546889778,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
259,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,16.4036464391224,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
261,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,14.7018196401267,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
262,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,11.5693376166401,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
265,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,19.972995064389,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
266,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,12.0064345307181,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
268,"PET","Polyethylene terephtalate (PET)","PET","PET","PET","PET","Synthetic","Synthetic","Family",TRUE,15.6519464199206,"PET","Polyethylene terephtalate (PET)","PET","PET"
269,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,5.91893853056854,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
273,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,10.8693066723097,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
274,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,15.3585510291043,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
275,"PET","Polyethylene terephtalate (PET)","PET","PET","PET","PET","Synthetic","Synthetic","Family",TRUE,9.85467520919661,"PET","Polyethylene terephtalate (PET)","PET","PET"
278,"Cellulose","Polyamide (PA)","CELLULOSE","PA","Cellulose","PA","Semi-synthetic","Synthetic","Disagree",FALSE,6.09244599947256,"Cellulose","Polyamide (PA)","CELLULOSE","PA"
280,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,7.03909878644713,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
281,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,13.9496569220126,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
285,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,9.19381931257532,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
286,"Cellulose","Polyamide (PA)","CELLULOSE","PA","Cellulose","PA","Semi-synthetic","Synthetic","Disagree",FALSE,10.4270076270891,"Cellulose","Polyamide (PA)","CELLULOSE","PA"
290,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,22.0176175144361,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
