"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","x_norm","y_norm"
"408",5533.07180836298,-3889.62982127568,464.341,24.743,22.883,22.883,26.187,"Cellulose Acetate Butyrate (CAB)",92.83,"Comparstic Raman F2Ba Au IAEA 240930.csv",-527.159086061238,-5727.94588609669
"475",5066.92893058044,6035.42462944135,640.982,31.67,30.446,29.868,35.686,"Cellulose Acetate Butyrate (CAB)",92.76,"Comparstic Raman F2Ba Au IAEA 240930.csv",-993.301963843778,4197.10856462034
"357",4145.55045910142,492.228043396833,535.36,29.277,23.537,23.307,33.286,"Polyacrylamide/acrylate",92.74,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1914.6804353228,-1346.08802142418
"753",904.938950379252,2560.01947907748,895.727,42.266,28.545,28.545,42.116,"Cellulose Acetate Butyrate (CAB)",92.64,"Comparstic Raman F2Ba Au IAEA 240930.csv",-5155.29194404497,721.703414256472
"507",1736.76287883601,-601.944770708476,1277.02,45.828,36.619,36.166,46.499,"Polyamide (PA)",92.56,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4323.46801558821,-2440.26083552948
"3",10287.4995347114,2507.77932898116,1121.471,38.829,37.803,36.376,41.753,"Polyethylene terephtalate (PET)",92.5,"Comparstic Raman F2Ba Au IAEA 240930.csv",4227.26864028718,669.463264160152
"27",6178.32377219003,831.501985231164,428.255,28.91,23.105,22.963,32.068,"Cellulose Acetate Butyrate (CAB)",92.43,"Comparstic Raman F2Ba Au IAEA 240930.csv",118.092877765812,-1006.81407958984
"41",10313.9066435513,2475.05747672303,339.935,27.615,16.797,16.496,28.182,"Cellulose Acetate Butyrate (CAB)",92.32,"Comparstic Raman F2Ba Au IAEA 240930.csv",4253.67574912708,636.741411902022
"422",4853.37578952736,428.506541630994,609.674,31.067,25.938,25.868,32.148,"Cellulose Acetate Butyrate (CAB)",92.3,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1206.85510489686,-1409.80952319001
"754",3995.1447522307,3565.78588532748,612.311,33.296,23.537,23.537,33.375,"Cellulose Acetate Butyrate (CAB)",92.21,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2065.08614219352,1727.46982050647
"557",6641.02224447171,-2715.08754548373,512.291,38.17,18.724,18.724,37.314,"Polyacrylamide/acrylate",92.21,"Comparstic Raman F2Ba Au IAEA 240930.csv",580.791350047492,-4553.40361030474
"703",9000.44001255818,960.093123929794,665.204,42.593,21.47,21.47,41.874,"Cellulose Acetate Butyrate (CAB)",92.14,"Comparstic Raman F2Ba Au IAEA 240930.csv",2940.20911813396,-878.222940891214
"131",3639.22285047557,4283.94443225599,1313.601,43.852,38.958,38.098,47.2,"Polyacrylamide/acrylate",92,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2421.00804394865,2445.62836743498
