"particle_id","x_um","y_um","coord_match_cost","coord_source","material","quality","feret_max_um"
"A1",-4803.942,3503.604,0.112641827172931,"circle_calibrated","Polyethylene terephthalate",0.839804702046538,739
"A2",-819.52,-2274.116,0.119907804622066,"circle_calibrated","Polyethylene terephthalate",0.844333495567771,648
"A3",-1252.082,-651.846,0.125819119847476,"circle_calibrated","Polyethylene terephthalate",0.812781291857113,427
"A4",964.47,-5975.372,0.0344202709498904,"circle_calibrated","Polyethylene terephthalate",0.877067095480206,633
"A5",-1997.554,-3572.244,0.0801291039972072,"circle_calibrated","Polyethylene terephthalate",0.750639130991263,656
"A6",-3227.874,4056.468,0.0708684627993401,"circle_calibrated","Polyethylene terephthalate",0.855330065989846,308
"A7",-487.214,-4736.862,0.132001940622531,"circle_calibrated","Polyethylene terephthalate",0.784742605201264,362
"A8",5120.83,2575.924,0.155431062400871,"circle_calibrated","Polyethylene terephthalate",0.810669600094303,272
"A9",-4863.768,1642.472,0.246035765173966,"circle_calibrated","Cellulosic",0.932922337685594,1113
"A10",-2216.474,5507.476,0.399363864131095,"circle_calibrated","Polyethylene terephthalate",0.893747145334681,235
"A11",154.05,3334.318,0.100203085799629,"circle_calibrated","Cellulosic",0.777987093272813,269
"A12",813.202,-4177.81,1.31015547080538,"circle_calibrated","Polyethylene terephthalate",0.85274100878399,297
"A13",-3966.872,-3.32800000000052,0.117721855188525,"circle_calibrated","Polyethylene terephthalate",0.781167895347737,263
"A14",1978.99,-3868.202,0.471714059538831,"circle_calibrated","Polyethylene terephthalate",0.906822932618016,437
"A15",-3745.69,-2614.82,0.542816037179382,"circle_calibrated","Polyethylene terephthalate",0.87095202394214,220
"A16",-5566.782,475.332,0.500879156860194,"circle_calibrated","Polyvinyl chloride",0.692078609187708,831
"A17",-3305.588,4718.168,0.114581946798668,"circle_calibrated","Polyethylene terephthalate",0.884980070766979,447
"A18",-4342.026,1624.662,0.19184556655118,"circle_calibrated","Cellulosic",0.867312864284858,646
"A19",-3266.146,456.82,0.0730848015902548,"circle_calibrated","Rubber",0.757959687261123,371
"A20",2257.372,-5173.454,0.275003269839455,"circle_calibrated","Polyethylene terephthalate",0.910899743593897,152
"A21",-4921.878,2216.136,0.856542538545165,"circle_calibrated","Polyethylene terephthalate",0.911626678055639,497
"A22",1464.814,1317.992,0.144393681662024,"circle_calibrated","Polyethylene terephthalate",0.855234937742436,143
"A23",-2841.956,-5675.358,0.187061909227059,"circle_calibrated","Cellulosic",0.917786851676572,263
"A24",-2480.972,3535.402,0.270220143205093,"circle_calibrated","Polyamide (naturally occurring)",0.781205877791979,145
"A25",-4213.456,-1882.582,0.218028958698519,"circle_calibrated","Cellulosic",0.928891530055395,417
"A26",-2540.018,5456.308,0.237207952143502,"circle_calibrated","Polyethylene terephthalate",0.921203429248864,175
"A27",-1293.5,5130.606,0.0805804654207147,"circle_calibrated","Cellulosic",0.910976576782371,375
"A28",5167.162,-1987.596,0.0398501652581897,"circle_calibrated","Polyethylene terephthalate",0.866495534103227,107
"A29",-2692.17,2554.604,0.034066508849147,"circle_calibrated","Cellulosic",0.844400536822395,291
"A30",-1384.76,-1887.288,0.0825945706315636,"circle_calibrated","Polyethylene terephthalate",0.892760518130499,140
"A31",-2806.18,5048.108,0.362020667405384,"circle_calibrated","Cellulosic",0.927399984619523,113
"A32",-1927.094,5573.932,0.324015935919744,"circle_calibrated","Polyethylene terephthalate",0.881695252838208,111
"A33",-4674.67,-1610.622,0.592389832097992,"circle_calibrated","Cellulosic",0.833985981033295,416
"A34",1053.182,-6377.462,0.046927548326225,"circle_calibrated","Polyethylene terephthalate",0.893210651413161,97
"A35",-3266.276,-1829.828,0.0576958570157382,"circle_calibrated","Polyamide (naturally occurring)",0.933982588596863,97
"A36",4039.542,-4683.874,0.420497605609093,"circle_calibrated","Polyethylene terephthalate",0.906023235391562,94
"A37",-1985.542,4530.292,0.0407876482649021,"circle_calibrated","Carbonate",0.796739607038821,164
"A38",-2466.126,3225.222,0.325569828249742,"circle_calibrated","Polyethylene terephthalate",0.918361068411598,110
"A39",2282.41,3974.152,0.0209442402948286,"circle_calibrated","Polyamide (naturally occurring)",0.878685457165586,192
"A40",4025.762,-2698.956,0.0414145395182857,"circle_calibrated","Polyamide (naturally occurring)",0.939859813213134,104
"A41",-2957.396,-1400.516,0.0727339748989135,"circle_calibrated","Polyethylene terephthalate",0.892249441085367,135
"A42",-6040.918,-1542.814,0.161135907732921,"circle_calibrated","Cellulosic",0.910002468582759,105
"A43",1934.114,-1254.942,0.233460442658453,"circle_calibrated","Polyamide (naturally occurring)",0.93290560793875,103
"A44",515.71,-318.292,0.212062854955057,"circle_calibrated","Polypropylene",0.978589994635303,106
"A45",-557.882,-4904.328,0.05138948993037,"circle_calibrated","Polyamide (naturally occurring)",0.925932956436204,105
"A46",2541.89,-687.31,0.0963791168750561,"circle_calibrated","Cellulosic",0.894828861564227,167
"A47",4806.126,980.538,0.646442388693304,"circle_calibrated","Cellulosic",0.822389400336825,190
"A48",-1180.218,-5640.518,0.0476015677242057,"circle_calibrated","Polyethylene terephthalate",0.877625051256687,94
"A49",2701.14,1706.796,0.227366070486011,"circle_calibrated","Polyethylene terephthalate",0.911702241758719,80
"A50",-1270.334,-2000.804,0.10852471560203,"circle_calibrated","Cellulosic",0.911693399418307,128
"A51",-4212.676,1364.48,0.0179224465704286,"circle_calibrated","Polyamide (naturally occurring)",0.917033491970952,96
"A52",-3394.196,-2666.248,0.100658942983149,"circle_calibrated","Cellulosic",0.969097963071682,103
"A53",-2034.734,2480.114,0.215068793735458,"circle_calibrated","Polyamide (naturally occurring)",0.898473024242733,100
"A54",1022.45,-841.49,0.0272537070161607,"circle_calibrated","Polyethylene terephthalate",0.922683503707088,74
"A55",-5000.866,2466.23,0.172225221097964,"circle_calibrated","Polyethylene terephthalate",0.913073340982825,99
"A56",-2238.158,-980.85,0.0351565017260782,"circle_calibrated","Polyamide (naturally occurring)",0.910238033900315,64
"A57",-1143.402,3388.528,0.00600290478559762,"circle_calibrated","Cellulosic",0.822302459045794,60
"A58",-710.19,3485.196,0.120937439065733,"circle_calibrated","Cellulosic",0.870641190372022,80
"A59",1437.488,-4633.252,0.0709452053529067,"circle_calibrated","Cellulosic",0.942414338697657,91
"A60",2169.518,553.592,0.133797624674322,"circle_calibrated","Polyethylene terephthalate",0.918982893681545,85
"A61",612.923999999999,3315.338,0.229036327466917,"circle_calibrated","Cellulosic",0.955328688477602,132
"A62",-4106.934,-4149.938,0.113820361839015,"circle_calibrated","Polyamide (naturally occurring)",0.93182349408159,78
"A63",-5850.182,-767.286,0.0313610165995284,"circle_calibrated","Carbonate",0.860504115038641,73
"A64",-737.021999999999,3649.958,0.231872748298315,"circle_calibrated","Carbonate",0.732827477267805,55
"A65",-4048.07,3775.096,0.117355498496517,"circle_calibrated","Polyamide (naturally occurring)",0.92175196503736,60
"A66",-890.084,3547.388,0.238086030729663,"circle_calibrated","Cellulosic",0.94209901081891,180
