"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","diameter_um","aspect_ratio","coord_match_cost","coord_source"
"A25",-4213.456,-1882.582,8875,417,53,53,417,"Cellulosic",0.928891530055395,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",106.30146264057,0.127386197322976,0.218028958698519,"circle_calibrated"
"A26",-2540.018,5456.308,8087.5,175,72,72,175,"Polyethylene terephthalate",0.921203429248864,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",101.475735119513,0.412422379390774,0.237207952143502,"circle_calibrated"
"A27",-1293.5,5130.606,7062.5,375,54,54,375,"Cellulosic",0.910976576782371,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",94.8274975136014,0.144067807594663,0.0805804654207147,"circle_calibrated"
"A28",5167.162,-1987.596,6925,107,89,89,107,"Polyethylene terephthalate",0.866495534103227,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",93.8998607415954,0.830845715471495,0.0398501652581897,"circle_calibrated"
"A29",-2692.17,2554.604,6787.5,291,80,80,291,"Cellulosic",0.844400536822395,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",92.9629679490168,3.62500035579862,0.034066508849147,"circle_calibrated"
"A30",-1384.76,-1887.288,6725,140,71,71,140,"Polyethylene terephthalate",0.892760518130499,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",92.5339718068125,1.98611115707511,0.0825945706315636,"circle_calibrated"
"A31",-2806.18,5048.108,6600,113,74,74,113,"Cellulosic",0.927399984619523,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",91.6699568847508,1.52380948711022,0.362020667405384,"circle_calibrated"
"A32",-1927.094,5573.932,6450,111,81,81,111,"Polyethylene terephthalate",0.881695252838208,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",90.6222658265715,1.37755096363061,0.324015935919744,"circle_calibrated"
"A33",-4674.67,-1610.622,6375,416,57,57,416,"Cellulosic",0.833985981033295,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",90.0938516086789,7.29736184865589,0.592389832097992,"circle_calibrated"
"A34",1053.182,-6377.462,4662.5,97,65,65,97,"Polyethylene terephthalate",0.893210651413161,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",77.0485520780741,1.48148141136173,0.046927548326225,"circle_calibrated"
"A35",-3266.276,-1829.828,4650,97,62,62,97,"Polyamide (naturally occurring)",0.933982588596863,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.9452005197108,0.638095174277552,0.0576958570157382,"circle_calibrated"
"A36",4039.542,-4683.874,4600,94,66,66,94,"Polyethylene terephthalate",0.906023235391562,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.5303985732581,1.43749992724326,0.420497605609093,"circle_calibrated"
"A37",-1985.542,4530.292,4575,164,62,62,164,"Carbonate",0.796739607038821,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.3221522047392,2.63671880999908,0.0407876482649021,"circle_calibrated"
"A38",-2466.126,3225.222,4550,110,57,57,110,"Polyethylene terephthalate",0.918361068411598,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.1133360755196,0.516129006996268,0.325569828249742,"circle_calibrated"
"A39",2282.41,3974.152,4537.5,192,45,45,192,"Polyamide (naturally occurring)",0.878685457165586,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.0087128836938,4.28308803841678,0.0209442402948286,"circle_calibrated"
"A40",4025.762,-2698.956,4150,104,59,59,104,"Polyamide (naturally occurring)",0.939859813213134,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",72.6907429501923,0.566037701226032,0.0414145395182857,"circle_calibrated"
"A41",-2957.396,-1400.516,4000,135,49,49,135,"Polyethylene terephthalate",0.892249441085367,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",71.3649646461108,0.360902294401041,0.0727339748989135,"circle_calibrated"
"A42",-6040.918,-1542.814,3912.5,105,47,47,105,"Cellulosic",0.910002468582759,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",70.580094352277,2.23809512204187,0.161135907732921,"circle_calibrated"
"A43",1934.114,-1254.942,3875,103,50,50,103,"Polyamide (naturally occurring)",0.93290560793875,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",70.2410366940064,0.487684770546574,0.233460442658453,"circle_calibrated"
"A44",515.71,-318.292,3875,106,59,59,106,"Polypropylene",0.978589994635303,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",70.2410366940064,1.81081079979626,0.212062854955057,"circle_calibrated"
"A45",-557.882,-4904.328,3562.5,105,47,47,105,"Polyamide (naturally occurring)",0.925932956436204,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",67.3492084446359,0.446808533806944,0.05138948993037,"circle_calibrated"
"A46",2541.89,-687.31,3475,167,43,43,167,"Cellulosic",0.894828861564227,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",66.5169709018284,0.254237275107038,0.0963791168750561,"circle_calibrated"
"A47",4806.126,980.538,3362.5,190,32,32,190,"Cellulosic",0.822389400336825,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",65.4313989547219,5.98689921030809,0.646442388693304,"circle_calibrated"
"A48",-1180.218,-5640.518,3325,94,46,46,94,"Polyethylene terephthalate",0.877625051256687,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",65.0655168752575,0.485294150366557,0.0476015677242057,"circle_calibrated"
"A49",2701.14,1706.796,3275,80,50,50,80,"Polyethylene terephthalate",0.911702241758719,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",64.5744493511765,0.625,0.227366070486011,"circle_calibrated"
"A50",-1270.334,-2000.804,3187.5,128,36,36,128,"Cellulosic",0.911693399418307,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",63.7059734157114,0.282786881267485,0.10852471560203,"circle_calibrated"
"A51",-4212.676,1364.48,3100,96,48,48,96,"Polyamide (naturally occurring)",0.917033491970952,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",62.8254931431422,0.5,0.0179224465704286,"circle_calibrated"
"A52",-3394.196,-2666.248,3087.5,103,41,41,103,"Cellulosic",0.969097963071682,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",62.6987008985817,0.393333277173359,0.100658942983149,"circle_calibrated"
