"match_id","triage_score","tier","material_a","material_b","family_a","family_b","match_distance","ambiguity_score","ftir_x_um","ftir_y_um","raman_x_um","raman_y_um","ftir_x_aligned","ftir_y_aligned"
135,3.27938792888156,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",85.7835756111716,0.710776086384921,5025,8475,6849.40877727351,-1583.60033845248,1516.63465745933,-3992.07255357433
69,2.64457144907559,"Disagree","Cellulose","Polyamide (PA)","Cellulose","PA",34.6968877028427,0.648801286023583,3200,3450,9089.99455558044,3176.56806373074,3706.43258471679,872.783106817129
55,2.62807862674201,"Disagree","Protein","Polyethylene terephtalate (PET)","Protein","PET",56.8450616028922,0.529814005356542,2800,5050,9285.75160154576,1576.06764099957,3985.50769715861,-749.182295635206
177,2.61668373832639,"Disagree","Cellulose","Polyamide (PA)","Cellulose","PA",70.3142182760166,0.456770777783111,6500,8325,5361.99966848712,-1363.15838639769,59.9608453390782,-3733.11721334667
22,2.55822220392865,"Disagree","Cellulose","Polyethylene terephtalate (PET)","Cellulose","PET",80.3310186275134,0.377456008826757,1975,2550,10364.4245908972,4082.44671045591,4992.402576213,1677.31303078579
190,2.22077245266547,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",24.2875679398613,0.488948386633431,6850,5950,5269.57478754748,980.759556934931,-111.726447331648,-1343.63817676045
122,2.13303319890307,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",22.1184343107826,0.45592442789762,4800,2775,7500.9754845188,3981.41081576413,2164.40686228451,1663.48107914295
36,1.92342564849441,"Disagree","Protein","Polyacrylamide/acrylate","Protein","Acrylate",33.1836298316918,0.295794675088745,2300,4550,9904.02238894944,2057.13627595248,4520.25782031569,-288.79466552005
166,1.83457054390172,"Disagree","Protein","Polyacrylamide/acrylate","Protein","Acrylate",16.529216649542,0.33463918870315,6000,8575,5911.95641345715,-1697.26571998074,538.939098714714,-4019.08289818568
65,1.83101524319603,"Disagree","Protein","Polyacrylamide/acrylate","Protein","Acrylate",38.1778803948098,0.224618219623967,3100,8200,8836.25668368403,-1507.82341743365,3452.7245180949,-3861.55747053016
136,1.81250043074028,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",14.8688781265545,0.331905824737369,5100,8400,6794.29828925981,-1574.98932470034,1447.57651294206,-3911.86003510077
121,1.80256533934078,"Disagree","Cellulose","Polyamide (PA)","Cellulose","PA",53.6199845911298,0.133182746714742,4825,10275,6931.50044171058,-3525.09690576841,1581.80972063832,-5798.19300807273
134,1.80048384651257,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",22.8597705144108,0.285943070684232,5050,1950,7356.31045348284,4834.4752448095,1976.97148072604,2503.06034885302
87,1.7534006578545,"Disagree","Cellulose","Polyamide (PA)","Cellulose","PA",26.5421421340791,0.243989618256857,3825,3325,8434.40937525082,3390.69527236729,3093.76680055188,1043.65188412736
94,1.6943551285694,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",20.0000132407881,0.24717749808076,4100,2600,8245.5411402872,4097.94653520976,2874.01672585741,1785.57644083625
10,1.69278340752451,"Disagree","Protein","Polyacrylamide/acrylate","Protein","Acrylate",25.6969665452006,0.217906871036251,1200,4450,10996.4730003043,2035.89577536387,5622.34559821933,-271.079632538936
123,1.68438875082349,"Disagree","Protein","Polyacrylamide/acrylate","Protein","Acrylate",27.2095486111177,0.206146632356154,4850,4800,7308.08877647085,1954.37817851027,1964.06592621102,-347.954746581217
143,1.67281894393336,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",17.9888753249885,0.246465095341737,5200,6850,6831.03861460227,-50.2658229880135,1463.32460182981,-2361.96026822462
314,1.66724442929403,"Family","Cellulose","Cellulose Acetate Butyrate (CAB)","Cellulose","Cellulose",49.1633762647195,0.587805333323419,11400,3650,934.21639713653,3591.6189265839,-4468.56949072389,1283.52799910641
299,1.66186231338983,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",33.1336723538763,0.165262794925536,10675,8350,1290.13829889167,-1106.5501765839,-4096.59833689853,-3447.53224872847
106,1.66081817541099,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",21.8666558735887,0.221075808337551,4300,1200,8141.63490767804,5498.67143889127,2779.09666546165,3193.64179402576
32,1.62203327741487,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",20.3003409209097,0.209514934102887,2250,2825,10075.6685964088,3750.63564720676,4698.29000847661,1424.09983422245
316,1.62044306663509,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",30.0276367112834,0.160083349761127,11350,8350,606.423806971718,-1046.8471479024,-4768.31632035729,-3397.33756592517
178,1.61734622004169,"Disagree","Cellulose","Polyamide (PA)","Cellulose","PA",26.1270825590526,0.178037697225582,6475,4025,5747.77308458301,2848.20140598245,404.59800925113,544.116063397877
12,1.61436270674966,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",29.2008441832252,0.161177132458703,1450,4200,10777.1791834165,2330.96651327055,5392.15178316175,-3.70457096039922
165,1.5962782660708,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",21.9557919113089,0.188360173478857,5975,3275,6336.19235764594,3585.30418316567,957.938755668683,1253.28813183109
