Identifier,Coord. [pixels],Coord. [µm],Max AAU score,Spectrum yielding score,Group,Group ID,No. of pixels [-],Area on map [µm²],Major dim [µm],Minor dim [µm],Feret min [µm],Volume [µm³],Mass [ng]
MP_-1,[148;86],[3700;2150],0.832,Protein4,Protein,25,5,3125.0,80.9,49.2,50.0,61476.977,61.47698
MP_-1,[148;126],[3700;3150],0.672,Cellulose7,Cellulose,26,4,2500.0,80.9,39.3,55.0,39345.266,39.34527
MP_-1,[148;354],[3700;8850],0.784,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[149;324],[3725;8100],0.782,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[150;382],[3750;9550],0.811,Protein4,Protein,25,5,3125.0,80.9,49.2,55.0,61476.977,61.47698
MP_-1,[148;423],[3700;10575],0.758,Protein4,Protein,25,6,3750.0,95.7,49.9,62.5,74829.398,74.82940
MP_-1,[151;137],[3775;3425],0.788,Cellulose7,Cellulose,26,7,4375.0,104.1,53.5,80.0,93681.797,93.68180
MP_-1,[153;133],[3825;3325],0.669,Cellulose6,Cellulose,26,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[157;184],[3925;4600],0.786,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[156;398],[3900;9950],0.690,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[158;38],[3950;950],0.733,Protein1,Protein,25,7,4375.0,80.9,68.9,75.0,120494.875,120.49488
MP_-1,[159;135],[3975;3375],0.738,Protein6,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[162;46],[4050;1150],0.686,Cellulose7,Cellulose,26,6,3750.0,104.1,45.9,62.5,68827.445,68.82745
MP_-1,[162;390],[4050;9750],0.852,Protein4,Protein,25,5,3125.0,75.0,53.1,55.0,66314.570,66.31457
MP_-1,[168;62],[4200;1550],0.893,Cellulose6,Cellulose,26,45,28125.0,417.9,85.7,150.0,964016.063,964.01606
MP_-1,[164;104],[4100;2600],0.913,Protein4,Protein,25,5,3125.0,80.9,49.2,55.0,61476.977,61.47698
MP_-1,[164;281],[4100;7025],0.713,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[164;382],[4100;9550],0.724,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[165;112],[4125;2800],0.747,Protein4,Protein,25,2,1250.0,50.0,31.8,25.0,15915.494,15.91549
MP_-1,[168;144],[4200;3600],0.798,Protein4,Protein,25,5,3125.0,80.9,49.2,55.0,61476.977,61.47698
MP_-1,[167;432],[4175;10800],0.901,Protein4,Protein,25,5,3125.0,80.9,49.2,75.0,61476.977,61.47698
MP_-1,[168;48],[4200;1200],0.766,Protein6,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[168;360],[4200;9000],0.823,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[169;357],[4225;8925],0.745,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[170;64],[4250;1600],0.704,Protein6,Protein,25,2,1250.0,50.0,31.8,30.0,15915.494,15.91549
MP_-1,[170;131],[4250;3275],0.830,Protein4,Protein,25,6,3750.0,80.9,59.0,50.0,88526.844,88.52684
MP_-1,[171;386],[4275;9650],0.800,Protein4,Protein,25,7,4375.0,131.1,42.5,72.5,74376.570,74.37657
MP_7,[172;333],[4300;8325],0.733,PET5,PET,6,5,3125.0,80.9,49.2,55.0,61476.977,61.47698
MP_-1,[172;48],[4300;1200],0.779,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[172;62],[4300;1550],0.703,Protein4,Protein,25,2,1250.0,50.0,31.8,25.0,15915.494,15.91549
MP_-1,[174;255],[4350;6375],0.814,Protein4,Protein,25,6,3750.0,80.9,59.0,55.0,88526.844,88.52684
MP_-1,[174;218],[4350;5450],0.859,Protein4,Protein,25,8,5000.0,104.1,61.2,80.0,122359.891,122.35989
MP_-1,[175;71],[4375;1775],0.707,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[175;303],[4375;7575],0.701,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[176;426],[4400;10650],0.836,Protein4,Protein,25,5,3125.0,80.9,49.2,75.0,61476.977,61.47698
MP_-1,[177;128],[4425;3200],0.666,Cellulose6,Cellulose,26,2,1250.0,50.0,31.8,25.0,15915.494,15.91549
MP_-1,[180;318],[4500;7950],0.735,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[182;290],[4550;7250],0.674,Protein4,Protein,25,2,1250.0,50.0,31.8,50.0,15915.494,15.91549
MP_-1,[182;140],[4550;3500],0.667,Protein1,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[182;146],[4550;3650],0.842,Protein4,Protein,25,7,4375.0,80.9,68.9,75.0,120494.875,120.49488
MP_-1,[182;303],[4550;7575],0.822,Protein4,Protein,25,2,1250.0,50.0,31.8,30.0,15915.494,15.91549
MP_-1,[184;440],[4600;11000],0.664,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[186;370],[4650;9250],0.680,Protein4,Protein,25,2,1250.0,50.0,31.8,50.0,15915.494,15.91549
MP_-1,[192;54],[4800;1350],0.800,Cellulose6,Cellulose,26,78,48750.0,777.7,79.8,217.5,1556344.375,1556.34438
MP_-1,[186;83],[4650;2075],0.698,Cellulose6,Cellulose,26,10,6250.0,170.8,46.6,72.5,116495.445,116.49545
MP_8,[189;288],[4725;7200],0.788,PET6,PET,6,10,6250.0,115.1,69.1,75.0,172785.984,172.78598
MP_-1,[193;411],[4825;10275],0.821,Cellulose7,Cellulose,26,14,8750.0,207.0,53.8,75.0,188369.297,188.36930
MP_-1,[192;111],[4800;2775],0.722,Protein4,Protein,25,2,1250.0,50.0,31.8,50.0,15915.494,15.91549
MP_-1,[194;192],[4850;4800],0.808,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[193;379],[4825;9475],0.737,Protein4,Protein,25,7,4375.0,104.1,53.5,77.5,93681.797,93.68180
MP_-1,[196;222],[4900;5550],0.803,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[195;278],[4875;6950],0.825,Protein4,Protein,25,5,3125.0,80.9,49.2,55.0,61476.977,61.47698
MP_-1,[195;444],[4875;11100],0.756,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[197;166],[4925;4150],0.666,Protein4,Protein,25,2,1250.0,50.0,31.8,25.0,15915.494,15.91549
MP_-1,[198;99],[4950;2475],0.721,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_9,[198;218],[4950;5450],0.676,PP8,Polypro,2,5,3125.0,80.9,49.2,55.0,61476.977,61.47698
MP_-1,[199;220],[4975;5500],0.937,Protein4,Protein,25,8,5000.0,95.7,66.5,75.0,133030.047,133.03005
MP_-1,[200;146],[5000;3650],0.717,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[198;390],[4950;9750],0.670,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[200;31],[5000;775],0.728,Protein4,Protein,25,2,1250.0,50.0,31.8,30.0,15915.494,15.91549
MP_-1,[202;78],[5050;1950],0.956,Protein4,Protein,25,21,13125.0,177.1,94.4,150.0,495479.938,495.47994
MP_-1,[201;339],[5025;8475],0.665,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[204;336],[5100;8400],0.792,Protein4,Protein,25,4,2500.0,100.0,31.8,52.5,31830.988,31.83099
MP_-1,[204;116],[5100;2900],0.684,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[204;124],[5100;3100],0.726,Protein6,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[204;427],[5100;10675],0.712,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[206;389],[5150;9725],0.781,Protein4,Protein,25,4,2500.0,80.9,39.3,50.0,39345.266,39.34527
MP_-1,[206;149],[5150;3725],0.706,Protein4,Protein,25,4,2500.0,75.0,42.4,50.0,42441.320,42.44132
MP_-1,[206;372],[5150;9300],0.722,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[208;274],[5200;6850],0.771,Protein6,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[207;403],[5175;10075],0.741,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[212;406],[5300;10150],0.834,Protein4,Protein,25,2,1250.0,50.0,31.8,50.0,15915.494,15.91549
MP_-1,[212;108],[5300;2700],0.698,Protein6,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[213;309],[5325;7725],0.803,Protein8,Protein,25,6,3750.0,80.9,59.0,75.0,88526.844,88.52684
MP_-1,[215;316],[5375;7900],0.887,Protein1,Protein,25,8,5000.0,95.7,66.5,75.0,133030.047,133.03005
MP_-1,[216;456],[5400;11400],0.936,Protein1,Protein,25,6,3750.0,80.9,59.0,50.0,88526.844,88.52684
MP_-1,[217;80],[5425;2000],0.835,Protein4,Protein,25,6,3750.0,80.9,59.0,75.0,88526.844,88.52684
MP_-1,[216;226],[5400;5650],0.664,Protein6,Protein,25,2,1250.0,50.0,31.8,25.0,15915.494,15.91549
MP_-1,[218;321],[5450;8025],0.738,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[222;359],[5550;8975],0.910,Protein4,Protein,25,6,3750.0,95.7,49.9,75.0,74829.398,74.82940
MP_-1,[223;461],[5575;11525],0.920,Protein4,Protein,25,6,3750.0,95.7,49.9,75.0,74829.398,74.82940
MP_-1,[223;320],[5575;8000],0.729,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[224;384],[5600;9600],0.734,Protein4,Protein,25,2,1250.0,50.0,31.8,30.0,15915.494,15.91549
MP_-1,[225;336],[5625;8400],0.694,Protein4,Protein,25,2,1250.0,50.0,31.8,25.0,15915.494,15.91549
MP_-1,[227;39],[5675;975],0.701,Cellulose7,Cellulose,26,6,3750.0,95.7,49.9,55.0,74829.398,74.82940
MP_-1,[227;306],[5675;7650],0.775,Protein6,Protein,25,6,3750.0,80.9,59.0,55.0,88526.844,88.52684
MP_-1,[228;124],[5700;3100],0.716,Protein1,Protein,25,5,3125.0,80.9,49.2,50.0,61476.977,61.47698
MP_-1,[228;286],[5700;7150],0.720,Cellulose6,Cellulose,26,2,1250.0,50.0,31.8,25.0,15915.494,15.91549
MP_-1,[229;398],[5725;9950],0.818,Protein4,Protein,25,5,3125.0,80.9,49.2,50.0,61476.977,61.47698
MP_-1,[230;213],[5750;5325],0.737,Cellulose6,Cellulose,26,6,3750.0,80.9,59.0,50.0,88526.844,88.52684
MP_-1,[233;467],[5825;11675],0.863,Cellulose6,Cellulose,26,5,3125.0,80.9,49.2,50.0,61476.977,61.47698
MP_-1,[234;236],[5850;5900],0.709,Protein4,Protein,25,2,1250.0,50.0,31.8,25.0,15915.494,15.91549
MP_-1,[236;322],[5900;8050],0.833,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[239;131],[5975;3275],0.743,Protein4,Protein,25,4,2500.0,95.7,33.3,55.0,33257.512,33.25751
MP_-1,[240;343],[6000;8575],0.790,Protein4,Protein,25,9,5625.0,136.8,52.4,95.0,117792.672,117.79267
MP_-1,[242;135],[6050;3375],0.766,Protein4,Protein,25,3,1875.0,75.0,31.8,52.5,23873.240,23.87324
MP_-1,[245;348],[6125;8700],0.762,Protein4,Protein,25,5,3125.0,80.9,49.2,50.0,61476.977,61.47698
MP_-1,[247;98],[6175;2450],0.740,Cellulose6,Cellulose,26,5,3125.0,80.9,49.2,50.0,61476.977,61.47698
MP_-1,[248;278],[6200;6950],0.701,Protein4,Protein,25,1,625.0,31.8,25.0,25.0,6250.000,6.25000
MP_-1,[248;374],[6200;9350],0.671,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[248;86],[6200;2150],0.728,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_10,[251;91],[6275;2275],0.942,PET6,PET,6,35,21875.0,228.9,121.7,145.0,1064888.625,1064.88863
MP_-1,[249;360],[6225;9000],0.757,Protein4,Protein,25,4,2500.0,75.0,42.4,55.0,42441.320,42.44132
MP_-1,[249;407],[6225;10175],0.669,Protein4,Protein,25,1,625.0,31.8,25.0,25.0,6250.000,6.25000
MP_-1,[252;256],[6300;6400],0.746,Cellulose7,Cellulose,26,8,5000.0,104.1,61.2,50.0,122359.891,122.35989
MP_-1,[252;110],[6300;2750],0.690,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[253;95],[6325;2375],0.713,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[253;399],[6325;9975],0.831,Protein4,Protein,25,5,3125.0,80.9,49.2,55.0,61476.977,61.47698
MP_-1,[258;76],[6450;1900],0.779,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[259;167],[6475;4175],0.712,Cellulose6,Cellulose,26,8,5000.0,104.1,61.2,95.0,122359.891,122.35989
MP_-1,[260;333],[6500;8325],0.850,Cellulose6,Cellulose,26,18,11250.0,183.1,78.2,117.5,352009.094,352.00909
MP_-1,[259;161],[6475;4025],0.714,Cellulose7,Cellulose,26,7,4375.0,104.1,53.5,75.0,93681.797,93.68180
MP_11,[268;193],[6700;4825],0.866,PET3,PET,6,183,114375.0,445.8,326.7,397.5,14946192.000,14946.19200
MP_-1,[261;363],[6525;9075],0.858,Protein4,Protein,25,4,2500.0,75.0,42.4,50.0,42441.320,42.44132
MP_-1,[261;203],[6525;5075],0.773,Protein4,Protein,25,4,2500.0,75.0,42.4,30.0,42441.320,42.44132
MP_-1,[262;455],[6550;11375],0.858,Protein4,Protein,25,6,3750.0,115.1,41.5,72.5,62202.961,62.20296
MP_-1,[262;233],[6550;5825],0.698,Protein4,Protein,25,2,1250.0,50.0,31.8,30.0,15915.494,15.91549
MP_-1,[266;449],[6650;11225],0.829,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[268;178],[6700;4450],0.700,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[270;277],[6750;6925],0.971,Protein4,Protein,25,17,10625.0,152.5,88.7,100.0,377075.219,377.07522
MP_-1,[268;444],[6700;11100],0.714,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[269;175],[6725;4375],0.883,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[273;162],[6825;4050],0.793,Protein4,Protein,25,5,3125.0,80.9,49.2,55.0,61476.977,61.47698
MP_-1,[272;298],[6800;7450],0.748,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[274;238],[6850;5950],0.748,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[275;43],[6875;1075],0.885,Cellulose6,Cellulose,26,7,4375.0,80.9,68.9,75.0,120494.875,120.49488
MP_-1,[274;284],[6850;7100],0.782,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[274;432],[6850;10800],0.675,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[278;167],[6950;4175],0.711,Cellulose6,Cellulose,26,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[280;140],[7000;3500],0.786,Protein4,Protein,25,5,3125.0,80.9,49.2,50.0,61476.977,61.47698
MP_-1,[278;258],[6950;6450],0.681,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[280;61],[7000;1525],0.838,Protein4,Protein,25,6,3750.0,80.9,59.0,75.0,88526.844,88.52684
MP_-1,[280;312],[7000;7800],0.807,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[282;106],[7050;2650],0.676,Protein6,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_12,[283;312],[7075;7800],0.698,PET6,PET,6,5,3125.0,80.9,49.2,55.0,61476.977,61.47698
MP_-1,[284;330],[7100;8250],0.720,Protein4,Protein,25,2,1250.0,50.0,31.8,25.0,15915.494,15.91549
MP_-1,[285;432],[7125;10800],0.676,Protein6,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[286;144],[7150;3600],0.789,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[287;401],[7175;10025],0.721,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[294;462],[7350;11550],0.794,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[295;271],[7375;6775],0.673,Cellulose7,Cellulose,26,1,625.0,31.8,25.0,25.0,6250.000,6.25000
MP_-1,[296;62],[7400;1550],0.685,Cellulose7,Cellulose,26,5,3125.0,80.9,49.2,75.0,61476.977,61.47698
MP_-1,[298;174],[7450;4350],0.800,Protein4,Protein,25,5,3125.0,80.9,49.2,75.0,61476.977,61.47698
MP_-1,[299;234],[7475;5850],0.685,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[301;427],[7525;10675],0.815,Protein4,Protein,25,7,4375.0,80.9,68.9,55.0,120494.875,120.49488
MP_-1,[302;26],[7550;650],0.827,Protein4,Protein,25,5,3125.0,80.9,49.2,50.0,61476.977,61.47698
MP_-1,[302;101],[7550;2525],0.895,Protein4,Protein,25,7,4375.0,80.9,68.9,55.0,120494.875,120.49488
MP_-1,[302;171],[7550;4275],0.732,Protein1,Protein,25,6,3750.0,80.9,59.0,50.0,88526.844,88.52684
