Identifier,Coord. [pixels],Coord. [µm],Max AAU score,Spectrum yielding score,Group,Group ID,No. of pixels [-],Area on map [µm²],Major dim [µm],Minor dim [µm],Feret min [µm],Volume [µm³],Mass [ng]
MP_-1,[359;161],[8975;4025],0.844,Protein4,Protein,25,7,4375.0,95.7,58.2,75.0,101851.133,101.85113
MP_-1,[359;444],[8975;11100],0.675,Protein6,Protein,25,2,1250.0,50.0,31.8,25.0,15915.494,15.91549
MP_-1,[360;312],[9000;7800],0.668,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[365;423],[9125;10575],0.756,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_17,[377;173],[9425;4325],0.959,PET6,PET,6,147,91875.0,638.7,183.1,252.5,6730597.500,6730.59750
MP_-1,[366;288],[9150;7200],0.682,Protein6,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[368;189],[9200;4725],0.811,Protein4,Protein,25,6,3750.0,80.9,59.0,50.0,88526.844,88.52684
MP_-1,[371;418],[9275;10450],0.790,Protein4,Protein,25,5,3125.0,80.9,49.2,55.0,61476.977,61.47698
MP_-1,[377;326],[9425;8150],0.901,Cellulose7,Cellulose,26,29,18125.0,258.2,89.4,142.5,648070.063,648.07006
MP_-1,[373;341],[9325;8525],0.703,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[375;224],[9375;5600],0.716,Protein6,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[374;244],[9350;6100],0.798,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[376;48],[9400;1200],0.899,Protein4,Protein,25,7,4375.0,80.9,68.9,75.0,120494.875,120.49488
MP_-1,[376;380],[9400;9500],0.736,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[378;315],[9450;7875],0.754,Cellulose6,Cellulose,26,15,9375.0,226.6,52.7,75.0,197576.922,197.57692
MP_18,[380;317],[9500;7925],0.816,PET6,PET,6,8,5000.0,95.7,66.5,75.0,133030.047,133.03005
MP_-1,[380;388],[9500;9700],0.680,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[380;122],[9500;3050],0.857,Protein4,Protein,25,6,3750.0,80.9,59.0,50.0,88526.844,88.52684
MP_-1,[382;264],[9550;6600],0.722,Cellulose6,Cellulose,26,2,1250.0,50.0,31.8,50.0,15915.494,15.91549
MP_-1,[384;407],[9600;10175],0.834,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[385;81],[9625;2025],0.717,Protein4,Protein,25,4,2500.0,75.0,42.4,50.0,42441.320,42.44132
MP_-1,[390;234],[9750;5850],0.750,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_19,[393;277],[9825;6925],0.856,PET6,PET,6,15,9375.0,175.0,68.2,75.0,255784.734,255.78473
MP_-1,[398;110],[9950;2750],0.682,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[399;365],[9975;9125],0.697,Cellulose6,Cellulose,26,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[402;168],[10050;4200],0.741,Protein4,Protein,25,2,1250.0,50.0,31.8,25.0,15915.494,15.91549
MP_-1,[402;239],[10050;5975],0.694,Protein4,Protein,25,1,625.0,31.8,25.0,25.0,6250.000,6.25000
MP_-1,[404;96],[10100;2400],0.668,Cellulose7,Cellulose,26,7,4375.0,104.1,53.5,77.5,93681.797,93.68180
MP_-1,[404;100],[10100;2500],0.761,Protein4,Protein,25,6,3750.0,80.9,59.0,75.0,88526.844,88.52684
MP_-1,[404;398],[10100;9950],0.672,Protein1,Protein,25,7,4375.0,95.7,58.2,72.5,101851.133,101.85113
MP_-1,[405;385],[10125;9625],0.698,Protein6,Protein,25,4,2500.0,75.0,42.4,50.0,42441.320,42.44132
MP_-1,[406;120],[10150;3000],0.753,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[406;216],[10150;5400],0.737,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[409;303],[10225;7575],0.872,Cellulose7,Cellulose,26,12,7500.0,136.8,69.8,75.0,209409.203,209.40920
MP_-1,[408;90],[10200;2250],0.671,Protein6,Protein,25,5,3125.0,80.9,49.2,70.0,61476.977,61.47698
MP_-1,[409;191],[10225;4775],0.779,Cellulose6,Cellulose,26,7,4375.0,80.9,68.9,75.0,120494.875,120.49488
MP_-1,[411;107],[10275;2675],0.696,Protein4,Protein,25,5,3125.0,80.9,49.2,50.0,61476.977,61.47698
MP_-1,[411;133],[10275;3325],0.785,Cellulose7,Cellulose,26,6,3750.0,80.9,59.0,75.0,88526.844,88.52684
MP_-1,[412;332],[10300;8300],0.751,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[412;241],[10300;6025],0.673,Protein4,Protein,25,1,625.0,31.8,25.0,25.0,6250.000,6.25000
MP_-1,[412;394],[10300;9850],0.835,Protein4,Protein,25,6,3750.0,80.9,59.0,50.0,88526.844,88.52684
MP_-1,[413;207],[10325;5175],0.688,Protein6,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_20,[417;231],[10425;5775],0.903,PET6,PET,6,70,43750.0,369.1,150.9,175.0,2640917.500,2640.91750
MP_-1,[414;283],[10350;7075],0.679,Protein6,Protein,25,2,1250.0,50.0,31.8,30.0,15915.494,15.91549
MP_-1,[416;220],[10400;5500],0.794,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[418;240],[10450;6000],0.742,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[418;334],[10450;8350],0.756,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[420;174],[10500;4350],0.839,Protein4,Protein,25,7,4375.0,104.1,53.5,75.0,93681.797,93.68180
MP_-1,[424;100],[10600;2500],0.735,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[424;229],[10600;5725],0.874,Protein4,Protein,25,10,6250.0,115.1,69.1,95.0,172785.984,172.78598
