"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","diameter_um","aspect_ratio","coord_match_cost","coord_source","x_norm","y_norm","x_aligned","y_aligned"
"A1",5619.92313915858,1840.3041335687,134687.5,739,323,323,739,"Polyethylene terephthalate",0.839804702046538,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",414.112848365656,0.436986952993901,0.0925109541136643,"image",-8.50063769893495,-5099.69287125262,2129.49517587584,5848.86142454879
"A2",2737.14520800421,912.507240652974,127225,648,282,282,648,"Polyethylene terephthalate",0.844333495567771,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",402.477205663788,2.29917670131412,0.188970846419742,"image",-2891.2785688533,-6027.48976416834,4975.12160200141,5472.4857764629
"A3",3354.99245312997,9097.19613918017,122862.5,427,367,367,427,"Polyethylene terephthalate",0.812781291857113,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",395.516616041632,0.859259087827103,0.336851691502897,"image",-2273.43132372755,2157.19913435886,1121.54268310833,-1285.81690230334
"A4",1244.86111111111,8252.55952380952,110687.5,633,331,331,633,"Polyethylene terephthalate",0.877067095480206,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",375.408713414957,1.91130130013285,0.162642130685314,"image",-4383.5626657464,1312.56251898821,3271.70659727761,-1419.57579260332
"A5",968.079232571763,6988.57571763327,83125,656,200,200,656,"Polyethylene terephthalate",0.750639130991263,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",325.327584376287,0.305047015828511,0.246639790038243,"image",-4660.34454428575,48.5787128119591,4022.1447930141,-449.540083093482
"A6",2539.67989084803,6494.50146935348,46587.5,308,219,219,308,"Polyethylene terephthalate",0.855330065989846,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",243.550913137991,1.40574005859434,0.0100162620750817,"image",-3088.74388600948,-445.495535467832,2876.93000907703,611.932477401903
"A7",3871.49869109948,11643.3944153578,43325,362,175,175,362,"Polyethylene terephthalate",0.784742605201264,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",234.868267919808,2.06825403298173,0.0851418461009505,"image",-1756.92508575803,4703.39741053645,-355.003078407074,-3256.55287180388
"A8",6908.74289772727,2246.19318181818,41987.5,272,264,264,272,"Polyethylene terephthalate",0.810669600094303,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",231.21450080946,0.974011960996269,0.137521275572943,"image",1280.31912086976,-4693.80382300313,860.902529857209,6024.75707020204
"A9",2754.06220657277,353.303990610328,39200,1113,318,318,1113,"Cellulosic",0.932922337685594,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",223.407677024802,0.286009461614576,0.451960839480978,"image",-2874.36157028474,-6586.69301421099,5187.77167161665,5958.25146905945
"A10",5516.66834002677,1472.96352074966,30512.5,235,171,171,235,"Polyethylene terephthalate",0.893747145334681,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",197.10332723912,1.37198063330004,0.221697962405628,"image",-111.755436830737,-5467.03348407165,2367.12789847242,6121.50700474125
