"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file"
"LDIR_IMG_2",1535.08160828025,12899.3776539278,18425.6944444444,287.083333333333,211.25,211.25,287.083333333333,NA,NA,"LDIR_image"
"LDIR_IMG_4",2733.18776907748,12184.2413542705,1560638.71527778,2681.25,1857.91666666667,1857.91666666667,2681.25,NA,NA,"LDIR_image"
"LDIR_IMG_9",5972.464542168,10223.9439713852,4525913.88888889,6456.66666666667,2275,2275,6456.66666666667,NA,NA,"LDIR_image"
"LDIR_IMG_10",4780.55076628353,12967.033045977,5105.20833333333,146.25,86.6666666666667,86.6666666666667,146.25,NA,NA,"LDIR_image"
"LDIR_IMG_17",9279.08915365653,12316.8681297361,1071213.54166667,2231.66666666667,1684.58333333333,1684.58333333333,2231.66666666667,NA,NA,"LDIR_image"
"LDIR_IMG_28",11978.0117313916,12971.1023462783,3022.04861111111,113.75,59.5833333333333,59.5833333333333,113.75,NA,NA,"LDIR_image"
"LDIR_IMG_30",12690.7882399555,12446.6041827294,570815.104166667,1489.58333333333,866.666666666667,866.666666666667,1489.58333333333,NA,NA,"LDIR_image"
"LDIR_IMG_34",11051.7875,12931.2625,5868.05555555556,113.75,86.6666666666667,86.6666666666667,113.75,NA,NA,"LDIR_image"
"LDIR_IMG_47",4217.95833333333,12931.1709770115,4254.34027777778,130,92.0833333333333,92.0833333333333,130,NA,NA,"LDIR_image"
"LDIR_IMG_49",8017.40996319664,12892.8884069401,9300.86805555556,195,195,195,195,NA,NA,"LDIR_image"
"LDIR_IMG_51",4329.55640589569,12914.0887188209,4313.02083333333,124.583333333333,119.166666666667,119.166666666667,124.583333333333,NA,NA,"LDIR_image"
"LDIR_IMG_61",12087.2013888889,12923.4444444444,5281.25,119.166666666667,92.0833333333333,92.0833333333333,119.166666666667,NA,NA,"LDIR_image"
"LDIR_IMG_78",11382.1319444444,12915.5,1760.41666666667,113.75,48.75,48.75,113.75,NA,NA,"LDIR_image"
"LDIR_IMG_107",11931.2709330144,12830.2820972887,6132.11805555556,157.083333333333,146.25,146.25,157.083333333333,NA,NA,"LDIR_image"
"LDIR_IMG_116",11788.1451288245,12833.5094605475,6073.4375,184.166666666667,135.416666666667,135.416666666667,184.166666666667,NA,NA,"LDIR_image"
"LDIR_IMG_124",11641.0390786749,12822.5789337474,4723.78472222222,124.583333333333,113.75,113.75,124.583333333333,NA,NA,"LDIR_image"
"LDIR_IMG_128",12038.6233249581,12803.6254187605,5838.71527777778,162.5,124.583333333333,124.583333333333,162.5,NA,NA,"LDIR_image"
"LDIR_IMG_182",4648.33055555556,12729.4916666667,8802.08333333333,173.333333333333,173.333333333333,173.333333333333,173.333333333333,NA,NA,"LDIR_image"
"LDIR_IMG_192",11822.879415011,12759.1376931567,4430.38194444445,173.333333333333,81.25,81.25,173.333333333333,NA,NA,"LDIR_image"
"LDIR_IMG_200",8056.40809692671,12744.9748817967,4136.97916666667,140.833333333333,124.583333333333,124.583333333333,140.833333333333,NA,NA,"LDIR_image"
"LDIR_IMG_214",12133.7353515625,12691.7366536458,7511.11111111111,173.333333333333,135.416666666667,135.416666666667,173.333333333333,NA,NA,"LDIR_image"
"LDIR_IMG_219",4948.255,12703.4916666667,3667.53472222222,130,97.5,97.5,130,NA,NA,"LDIR_image"
"LDIR_IMG_232",7511.58854166667,12709.8958333333,6102.77777777778,135.416666666667,86.6666666666667,86.6666666666667,135.416666666667,NA,NA,"LDIR_image"
"LDIR_IMG_249",11264.1130952381,12716.7083333333,2053.81944444444,119.166666666667,48.75,48.75,119.166666666667,NA,NA,"LDIR_image"
