"raman_particle_id","ftir_particle_id","ftir_material","ftir_raman_distance","ldir_particle_id","ldir_material","ldir_raman_distance","raman_material"
"167","MP_-1","Protein",12.7736216642425,"A169","Polyamide",67.6813642013661,"Polyacrylamide/acrylate"
"180","MP_-1","Protein",21.7943103024404,"A85","Polycarbonate",75.2516354178217,"Polyethylene naphtalate (PEN)"
"185","MP_-1","Cellulose",34.6968877028427,"A17","Polyethylene terephthalate",58.1326975203502,"Polyamide (PA)"
"207","MP_-1","Protein",12.4123294056771,"A117","Polycarbonate",21.351471762612,"Cellulose Acetate Butyrate (CAB)"
"358","MP_-1","Protein",38.1778803948098,"A81","Polyamide (naturally occurring)",94.1621805986616,"Polyacrylamide/acrylate"
"398","MP_-1","Protein",15.5144085523302,"A6","Polyethylene terephthalate",60.3922336450384,"Cellulose Acetate Butyrate (CAB)"
"417","MP_-1","Protein",33.1836298316918,"A87","Polyamide (naturally occurring)",78.4454153368782,"Polyacrylamide/acrylate"
"506","MP_15","PET",31.2569383541997,"A132","Polyamide (naturally occurring)",34.7592194861652,"Polyethylene terephtalate (PET)"
"570","MP_-1","Cellulose",16.4168082581352,"A33","Cellulosic",63.8130176397835,"Polyamide (PA)"
"644","MP_-1","Protein",13.1343139083478,"A74","Polyethylene terephthalate",61.0579223968249,"Polycarbonate (PC)"
