"match_id","ldir_idx","raman_idx","match_distance","match_score","ldir_particle_id","ldir_x_um","ldir_y_um","ldir_area_um2","ldir_major_um","ldir_minor_um","ldir_feret_min_um","ldir_feret_max_um","ldir_material","ldir_quality","ldir_source_file","ldir_diameter_um","ldir_aspect_ratio","ldir_coord_match_cost","ldir_coord_source","ldir_x_norm","ldir_y_norm","ldir_x_aligned","ldir_y_aligned","raman_particle_id","raman_x_um","raman_y_um","raman_area_um2","raman_major_um","raman_minor_um","raman_feret_min_um","raman_feret_max_um","raman_material","raman_quality","raman_source_file","raman_x_norm","raman_y_norm","n_ref_candidates","next_best_distance","ambiguity_score","ambiguity_flag"
1,14,483,36.5578127788505,38.3579864221509,"A14",3808.28389830508,3941.71139359699,21112.5,437,191,191,437,"Polyethylene terephthalate",0.906822932618016,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",163.955084972138,0.437253457896217,0.164269233589988,"image",-1820.13987855243,-2118.2916015817,749.153319117422,-1068.37876633487,"345",6074.41753958087,1275.83029484161,672.454,36.5,25.286,24.915,38.439,"Polyvinyl Chloride (PVC)",24.93,"Comparstic Raman F2Ba Au IAEA 240930.csv",717.336586524897,-1050.37406688419,1,271.360223265535,0.134720602522049,FALSE
2,16,338,67.5933849835393,69.4295602091431,"A16",5871.1400462963,6470.58449074074,18375,831,79,79,831,"Polyvinyl chloride",0.692078609187708,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",152.956780282891,0.0946254456384251,0.553079729432728,"image",242.716269438785,410.581495562056,9.72978550501107,1935.20735683403,"144",5299.42630188823,4266.72240475171,917.148,48.008,29.924,29.924,48.522,"Cellulose Acetate (CA)",62.87,"Comparstic Raman F2Ba Au IAEA 240930.csv",-57.6546511677425,1940.51804302591,0,214.999510938745,0.314388552273485,FALSE
3,28,698,93.4132542685623,94.4214474090231,"A28",647.945402298851,7273.27586206897,6925,107,89,89,107,"Polyethylene terephthalate",0.866495534103227,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",93.8998607415954,0.830845715471495,0.0233867487738164,"image",-4980.47837455866,1213.27286689028,4808.84296280446,501.060889668398,"451",10239.8519252829,2884.36766374144,788.457,32.148,32.148,30.631,34.504,"Polyphenylene sulphide (PPS)",6.68,"Comparstic Raman F2Ba Au IAEA 240930.csv",4882.77097222693,558.163302015636,0,162.088320699538,0.576310827735217,FALSE
4,29,397,56.3164166948777,57.2677461270316,"A29",6732.35632183908,7441.19252873563,6787.5,291,80,80,291,"Cellulosic",0.844400536822395,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",92.9629679490168,3.62500035579862,0.261914019771457,"image",1103.93254498157,1381.18953355695,-333.562296943856,3116.23278610564,"47",5021.57759148584,5386.15419252997,1810.897,55.685,42.481,41.9,56.639,"Polyacrylamide/acrylate",46.45,"Comparstic Raman F2Ba Au IAEA 240930.csv",-335.503361570133,3059.94983080417,1,19.9727622592886,2.81966089436062,TRUE
5,32,444,53.4881628302408,54.6744321611966,"A32",8173.55303030303,2214.62878787879,6450,111,81,81,111,"Polyethylene terephthalate",0.881695252838208,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",90.6222658265715,1.37755096363061,0.0362498128546264,"image",2545.12925344552,-3845.3742072999,-3690.71356903363,-774.341618930289,"13",1665.57849848499,1605.34508775685,439.954,34.947,17.727,17.727,34.539,"Polyacrylamide/acrylate",32.28,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3691.50245457098,-720.859273968954,0,80.2244107420053,0.666731763256623,FALSE
6,38,562,75.4217524232976,76.4156066662472,"A38",5516.80555555556,519.861111111111,4550,110,57,57,110,"Polyethylene terephthalate",0.918361068411598,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.1133360755196,0.516129006996268,0.0135684715852089,"image",-111.618221301956,-5540.14188406757,-2103.89176638004,-3304.83798461948,"4",3320.0412740629,-1013.55122806079,581.827,31.13,29.614,28.903,36.456,"Polyvinyl Chloride (PVC)",15.81,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2037.03967899307,-3339.75558978659,0,212.095219923301,0.355603263716043,FALSE
7,50,199,95.9307940622989,97.0549637360381,"A50",3654.31547619048,3122.32142857143,3187.5,128,36,36,128,"Cellulosic",0.911693399418307,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",63.7059734157114,0.282786881267485,0.0382200153116694,"image",-1974.10830066704,-2937.68156660726,548.189471352993,-1832.63259424264,"277",5972.23350972214,562.264288580907,347.679,31.236,18.191,17.335,32.88,"Cellulose Acetate Butyrate (CAB)",86.72,"Comparstic Raman F2Ba Au IAEA 240930.csv",615.152556666168,-1763.9400731449,0,142.651962362455,0.672481418927518,FALSE
8,51,462,40.7204074784494,41.4018205322458,"A51",6760.52419354839,3752.70161290323,3100,96,48,48,96,"Polyamide (naturally occurring)",0.917033491970952,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",62.8254931431422,0.5,0.167837508615056,"image",1132.10041669088,-2307.30138227546,-1855.87870157414,-31.1012465797062,"215",3479.05799468576,2260.93026808647,862.442,38.014,29.857,29.857,40.185,"Polyacrylamide/acrylate",28.84,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1878.02295837021,-65.2740936393338,1,253.541151925511,0.160606699027749,FALSE
9,61,342,92.6864904801614,93.4287560966572,"A61",6810.41666666667,7428.33333333333,2600,132,39,39,132,"Cellulosic",0.955328688477602,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",57.5362739175159,0.297640633911645,0.192473033118447,"image",1181.99288980916,1368.33033815465,-405.635310126456,3136.92694491266,"16",5042.81809207445,5447.5794239619,920.608,37.191,32.619,31.803,39.168,"Polyethylene terephtalate (PET)",61.4,"Comparstic Raman F2Ba Au IAEA 240930.csv",-314.262860981523,3121.3750622361,0,104.134366588457,0.890066301036449,TRUE
10,64,163,66.1314428040622,66.7918409969836,"A64",4631.92708333333,6091.04166666667,2437.5,55,55,55,55,"Carbonate",0.732827477267805,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",55.7092576713418,1,0.718522897648554,"image",-996.496693524177,31.0386714879824,916.812557127982,1106.82747248544,"8",6240.32307120544,3490.00896430865,457.915,37.438,21.566,21.566,37.314,"Cellulose Acetate Butyrate (CAB)",89.01,"Comparstic Raman F2Ba Au IAEA 240930.csv",883.242118149467,1163.80460258285,0,112.910901531872,0.585695817736383,FALSE
