"particle_id","x_um","y_um","coord_match_cost","coord_source","material","quality","feret_max_um"
"A1",5619.92313915858,11159.6958664313,0.0925109541136643,"image","Polyethylene terephthalate",0.839804702046538,739
"A2",2737.14520800421,12087.492759347,0.188970846419742,"image","Polyethylene terephthalate",0.844333495567771,648
"A3",3354.99245312997,3902.80386081983,0.336851691502897,"image","Polyethylene terephthalate",0.812781291857113,427
"A4",1244.86111111111,4747.44047619048,0.162642130685314,"image","Polyethylene terephthalate",0.877067095480206,633
"A5",968.079232571763,6011.42428236673,0.246639790038243,"image","Polyethylene terephthalate",0.750639130991263,656
"A6",2539.67989084803,6505.49853064652,0.0100162620750817,"image","Polyethylene terephthalate",0.855330065989846,308
"A7",3871.49869109948,1356.60558464223,0.0851418461009505,"image","Polyethylene terephthalate",0.784742605201264,362
"A8",6908.74289772727,10753.8068181818,0.137521275572943,"image","Polyethylene terephthalate",0.810669600094303,272
"A9",2754.06220657277,12646.6960093897,0.451960839480978,"image","Cellulosic",0.932922337685594,1113
"A10",5516.66834002677,11527.0364792503,0.221697962405628,"image","Polyethylene terephthalate",0.893747145334681,235
"A11",4795.22249190939,1075.86569579288,0.135316993693495,"image","Cellulosic",0.777987093272813,269
"A12",2766.96544715447,6341.96544715447,0.0403792783745221,"image","Polyethylene terephthalate",0.85274100878399,297
"A13",3353.40909090909,4362.9335016835,0.0137726756580418,"image","Polyethylene terephthalate",0.781167895347737,263
"A14",3808.28389830508,3941.71139359699,0.164269233589988,"image","Polyethylene terephthalate",0.906822932618016,437
"A15",4013.61788617886,2971.50406504065,0.0311436164067165,"image","Polyethylene terephthalate",0.87095202394214,220
"A16",5871.1400462963,6470.58449074074,0.553079729432728,"image","Polyvinyl chloride",0.692078609187708,831
"A17",2484.96212121212,11576.1742424242,0.207821992675254,"image","Polyethylene terephthalate",0.884980070766979,447
"A18",4257.28333333333,2964.65,0.499274320792774,"image","Cellulosic",0.867312864284858,646
"A19",7089.38936781609,3195.73994252874,0.17132109160029,"image","Rubber",0.757959687261123,371
"A20",2432.96171171171,10651.0698198198,0.108694734443954,"image","Polyethylene terephthalate",0.910899743593897,152
"A21",3485.03352490422,9928.50095785441,0.354299136101385,"image","Polyethylene terephthalate",0.911626678055639,497
"A22",5367.47146118722,3111.76369863014,0.0842975240883095,"image","Polyethylene terephthalate",0.855234937742436,143
"A23",2067.59868421053,6307.28070175439,0.104829491769476,"image","Cellulosic",0.917786851676572,263
"A24",5015.26315789474,6459.23245614035,0.0370067890036097,"image","Polyamide (naturally occurring)",0.781205877791979,145
